Na_a,Mg_a,Al_a,S_a,K_a,Ti_a,V_a,Cr_a,Mn_a,Fe_a,Co_a,Cu_a,Zn_a,Sr_a,Cd_a,Sn_a,Ba_a,Hg_a,Pb_a,name_a,Na_i,Mg_i,Al_i,S_i,K_i,Ti_i,V_i,Cr_i,Mn_i,Fe_i,Co_i,Cu_i,Zn_i,Sr_i,Cd_i,Sn_i,Ba_i,Hg_i,Pb_i,name_i
6463.02222,11185.33333,284274.71111,26741.27778,224062.61111,160.22222,3.44444,17.88889,2536.18889,1683547.75556,67.57778,71.46667,31.11111,955.44444,1.0,289.06667,371.11111,2.02222,127.86667,2FeAl.a_3,248.66667,25.22222,158.44444,56.51852,462.93333,17.22222,1.0,3.84444,7.36667,1767.18889,1.0,2.97778,1.60741,2.44444,1.0,1.28889,3.64444,2.68889,2.68889,2FeAl.i_3
6302.68889,10803.44444,280770.26667,24954.27778,218707.72222,80.11111,5.44444,31.55556,2477.85556,1656493.2,60.91111,67.46667,25.11111,973.11111,2.55556,258.73333,413.77778,2.02222,124.53333,2FeAl.a_4,292.11111,17.33333,104.22222,64.09259,767.48889,18.88889,1.0,2.8963,8.92222,1552.07778,1.0,3.51111,1.3037,1.55556,1.0,5.4,1.82222,2.28889,1.95556,2FeAl.i_4
6275.91111,10947.66667,271179.26667,25312.05556,209832.61111,187.0,2.88889,28.22222,2335.07778,1643911.2,58.13333,63.91111,30.33333,999.33333,1.0,222.62222,386.0,2.02222,126.42222,2FeAl.a_5,223.77778,8.44444,117.66667,63.77778,499.6,9.0,1.0,3.05926,9.25556,1420.74444,1.0,3.84444,2.27407,1.44444,1.77778,3.75556,1.0,2.93333,1.19259,2FeAl.i_5
6504.91111,10741.0,267735.48889,25245.38889,199396.72222,180.77778,4.77778,23.55556,2408.52222,1584133.2,56.02222,59.91111,23.33333,1011.33333,1.77778,192.95556,345.55556,2.02222,118.53333,2FeAl.a_6,173.55556,21.11111,125.44444,35.35185,324.71111,7.0,1.0,11.40741,7.92222,1378.96667,1.0,5.62222,1.60741,1.55556,1.77778,1.0,1.0,3.33333,1.82963,2FeAl.i_6
6210.57778,13708.22222,253857.71111,25294.61111,193429.72222,100.77778,4.88889,24.55556,2416.85556,1547197.2,56.35556,67.35556,32.88889,907.44444,1.0,212.06667,326.55556,1.68148,123.86667,2FeAl.a_7,310.22222,19.33333,81.22222,105.61111,797.26667,1.0,1.0,4.00741,9.81111,1295.3,1.0,2.88889,2.24444,3.11111,1.0,2.75556,1.82222,2.68889,1.51111,2FeAl.i_7
6258.02222,11001.0,250574.71111,24779.5,184432.61111,353.33333,10.66667,20.11111,2372.07778,1518091.08889,62.02222,65.02222,38.77778,954.88889,1.0,262.06667,284.0,2.01481,117.86667,2FeAl.a_8,382.77778,21.44444,80.33333,59.16667,1025.15556,220.33333,1.0,1.0,7.47778,1216.07778,1.11111,4.35556,2.24444,1.77778,1.0,3.77778,1.0,1.4,1.82963,2FeAl.i_8
6067.24444,13080.11111,242028.48889,22856.72222,169399.27778,265.0,6.33333,15.55556,2310.96667,1466520.31111,63.8,69.24444,32.88889,958.66667,1.77778,302.73333,502.0,1.34074,122.97778,2FeAl.a_9,259.33333,21.44444,79.77778,69.5,683.6,11.0,1.0,5.11852,8.47778,1142.96667,1.0,3.15556,2.27407,2.66667,1.0,2.75556,1.82222,2.04444,1.41481,2FeAl.i_9
10331.42222,14796.11111,2377.42222,61956.17778,277684.53333,357.04444,1.42963,24.77778,3785.67778,1925712.35556,137.0,454441.17778,42.55556,1483.33333,1.0,7293.71111,396.88889,72.02222,5309.13333,2FeCu.a_0,178.05556,123.4,24.45556,450.06667,394.6,138.35556,1.0,6.34074,23.03333,14312.7,1.66667,1259.11111,28.60741,1.88889,1.0,6.86667,2.88889,2.63333,3.7037,2FeCu.i_0
10435.2,13255.77778,2526.97778,57944.17778,259036.2,207.42222,1.94815,23.77778,3490.45556,1861073.57778,129.55556,410785.95556,35.44444,1388.0,1.0,8004.15556,399.66667,59.8,5185.8,2FeCu.a_1,193.83333,138.95556,26.01111,419.28889,419.93333,93.37778,1.0,3.05926,26.58889,13687.58889,1.55556,1235.66667,48.35556,2.59259,1.0,9.33333,4.77778,3.18889,3.7037,2FeCu.i_1
10349.08889,12315.88889,2157.53333,64047.84444,298439.75556,348.71111,1.41481,29.22222,3661.67778,1798271.46667,124.55556,452096.17778,46.77778,1591.22222,1.0,8357.93333,476.0,83.57778,6392.57778,2FeCu.a_2,187.72222,138.51111,16.01111,419.17778,373.93333,239.37778,1.0,4.28148,22.25556,13324.92222,2.66667,1140.22222,2.27407,1.59259,1.0,10.48889,2.77778,1.17407,2.2963,2FeCu.i_2
