Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,Sr,Cd,Sn,Ba,Hg,Pb,name
3063.2,1906.66667,149.27778,1431.57778,32658.16667,90.77778,1.0,1.87407,2312.83333,18590.6,95.06667,471.0,4368.88889,3.38519,8.44444,5.77778,8.55556,47.04444,33.02222,APP.12_0
2885.64444,1755.11111,151.72222,1460.02222,31506.61111,105.33333,1.0,1.87407,2210.72222,17676.37778,94.17778,432.66667,4136.88889,3.82963,9.22222,9.66667,4.77778,41.26667,34.02222,APP.12_1
2992.08889,1832.88889,147.72222,1483.24444,32520.05556,240.55556,1.0,2.98519,2192.27778,16856.37778,96.62222,385.55556,4159.44444,4.38519,9.22222,3.88889,2.88889,47.71111,29.91111,APP.12_2
2713.64444,1561.11111,155.72222,1434.13333,30814.16667,28.88889,1.0,1.87407,2151.72222,16299.6,86.95556,382.22222,4039.33333,4.15556,5.11111,4.88889,2.77778,43.82222,36.8,APP.12_3
2596.64444,1697.66667,137.94444,1315.46667,29535.72222,51.55556,1.0,2.98519,2108.27778,15501.26667,89.62222,434.22222,4040.44444,3.82222,1.0,6.11111,6.77778,37.37778,33.35556,APP.12_4
2620.64444,1729.0,135.38889,1400.57778,27498.83333,49.44444,1.1037,1.87407,2033.72222,14518.93333,83.84444,395.44444,3957.33333,3.37778,2.66667,2.77778,1.88889,44.04444,30.57778,APP.12_5
2445.75556,1592.44444,182.38889,1145.24444,22605.05556,131.66667,1.0,5.84444,1716.5,13484.15556,72.06667,294.88889,3428.0,4.93333,6.77778,5.88889,2.88889,38.48889,42.57778,APP.12_6
2259.86667,1479.22222,148.05556,1106.68889,21287.61111,76.33333,1.0,6.71852,1681.5,13100.82222,64.4,311.66667,3184.44444,2.74074,9.22222,7.88889,7.66667,20.71111,40.24444,APP.12_7
2287.64444,1364.22222,140.61111,1145.24444,20028.72222,67.88889,1.0,3.85926,1599.05556,12722.48889,78.51111,314.66667,3155.55556,3.5037,7.44444,5.44444,4.77778,27.42222,39.02222,APP.12_8
2291.31111,1327.88889,142.5,1065.35556,21444.5,160.44444,1.0,1.87407,1633.27778,12475.82222,69.4,339.0,3289.88889,4.28148,8.44444,6.22222,5.66667,30.82222,39.68889,APP.12_9
1172.04444,697.44444,229.38889,433.02222,9896.81111,105.11111,1.0,1.0,673.25556,6252.53333,37.48889,337.0,1411.66667,3.55556,1.0,4.22222,1.0,27.91111,34.95556,APP.13_0
1149.26667,700.66667,186.94444,471.57778,9825.14444,201.22222,1.11111,1.87037,640.03333,5869.42222,32.15556,311.33333,1311.33333,2.44444,1.0,4.11111,4.66667,21.57778,33.28889,APP.13_1
1144.48889,596.44444,114.72222,458.8,9351.36667,70.22222,1.0,2.74074,612.81111,5696.42222,32.04444,295.33333,1207.77778,2.22222,1.77778,7.22222,8.55556,25.13333,30.62222,APP.13_2
1186.93333,600.66667,121.94444,355.57778,9172.47778,117.22222,1.11111,3.85185,652.47778,5570.53333,38.04444,302.88889,1281.55556,2.77778,1.77778,4.0,2.77778,27.02222,37.4,APP.13_3
1167.71111,605.66667,119.61111,451.13333,9463.58889,107.11111,1.0,3.85185,639.36667,5318.53333,35.26667,299.66667,1267.11111,1.88889,1.0,5.88889,3.77778,20.68889,29.84444,APP.13_4
1142.26667,623.77778,156.38889,497.35556,10034.25556,127.88889,1.11111,2.98148,659.92222,5208.53333,32.6,317.0,1306.66667,3.44444,3.33333,8.66667,3.66667,26.02222,32.62222,APP.13_5
1071.48889,541.0,129.72222,433.02222,8653.36667,66.11111,1.0,2.74074,607.25556,5066.75556,33.6,294.55556,1190.55556,2.77778,2.55556,3.22222,2.88889,19.13333,33.06667,APP.13_6
1004.6,524.88889,101.05556,492.35556,8353.92222,49.66667,1.22222,1.0,570.25556,4988.42222,33.26667,273.33333,1164.66667,2.66667,3.44444,7.22222,6.77778,21.8,30.73333,APP.13_7
1101.04444,539.0,130.72222,453.46667,8633.36667,23.11111,1.0,3.61111,591.81111,4915.2,33.37778,277.66667,1219.55556,2.44444,4.22222,4.77778,3.88889,20.68889,29.84444,APP.13_8
1167.26667,555.33333,155.61111,538.68889,9471.36667,162.44444,1.0,4.72222,656.36667,4815.08889,32.48889,311.55556,1320.66667,2.66667,5.11111,4.77778,3.77778,22.91111,32.17778,APP.13_9
2485.9,1116.06667,151.74444,739.06667,18911.31111,182.77778,1.0,1.0,1174.98889,7796.84444,41.9,433.57778,1943.28889,5.44444,9.22222,9.12593,6.55556,33.07778,42.13333,APP.14_0
2478.56667,1081.73333,154.96667,666.62222,17890.31111,127.44444,1.20741,1.0,1168.43333,7371.95556,38.45556,360.91111,1865.51111,6.22222,11.66667,6.93333,7.55556,29.96667,33.91111,APP.14_1
2312.67778,1059.51111,176.07778,697.73333,16952.42222,119.22222,1.1037,2.58519,1103.43333,6857.84444,37.56667,343.8,1680.06667,5.77778,4.22222,8.68148,6.55556,32.3,34.24444,APP.14_2
2356.34444,976.51111,119.18889,517.28889,15862.31111,68.22222,1.0,1.79259,1064.21111,6595.4,45.01111,307.35556,1657.06667,3.55556,6.0,5.13333,13.33333,27.96667,41.68889,APP.14_3
2408.78889,1061.51111,128.07778,684.84444,16648.64444,70.11111,1.0,2.9037,1140.76667,6432.84444,40.67778,330.02222,1609.62222,4.44444,3.44444,4.24444,1.88889,31.63333,28.24444,APP.14_4
2253.45556,959.51111,136.85556,661.51111,15432.86667,117.11111,1.0,2.9037,1036.54444,6285.95556,40.45556,286.13333,1592.73333,4.77778,1.77778,4.74074,6.55556,23.96667,32.68889,APP.14_5
