Al,S,Cr,Mn,Co,Cu,Zn,Pb,Fe,Mg,Na,K,name
7.234642035612582,8.166162605220471,2.0541237336955462,7.571181809153833,3.7119446456117045,5.5053315359323625,6.054804443932356,8.992339131290182,12.491256349669792,9.130009659749984,9.49702528042515,10.620713607143568,192_0
7.319334988090155,8.331380212294585,2.681021528714291,7.649105151183315,3.635830145150655,5.582242402669157,6.238845329293265,9.261774656424167,12.431045810959244,9.289582759786889,9.56817331207848,10.659290232460416,192_1
7.284043292055958,8.167613649754701,1.2809338454620642,7.701647340025634,3.7010276154919546,5.392616944957662,6.282142122308255,9.265093673628954,12.38791603247748,9.219630418553024,9.475234766041536,10.620417989176383,192_2
7.230868841656535,8.116592897885486,1.496643164557134,7.64693220296774,3.597007830692723,5.560681631015528,6.100169456541239,9.124736489092752,12.36232511506347,9.1679314710691,9.556687500254322,10.612304649405793,192_3
7.395571542094011,7.951962221814895,2.670309565427008,7.458820327607626,3.4911057250562507,5.528105473825948,6.191089245706102,8.677575840691437,12.290429316729476,8.961137997167853,9.50764598946672,10.579555261254159,192_4
7.150945435670592,8.078043748728705,2.375422830169367,7.485797083253969,3.507890409131654,5.376306675132239,6.190861711519061,8.661220421028892,12.267530593257632,8.980787435616572,9.52209209911791,10.595282708522621,192_5
7.238560696614166,8.078147171256495,1.6005101785503835,7.313435177354554,3.48771477555111,5.476463551931511,6.163876057029024,8.445319984313924,12.252266001767694,8.879085611424056,9.527608754300879,10.489308088372606,192_6
7.268517412968488,8.025490951240746,1.6226837970786414,7.497201061232031,3.4601647879178667,5.609064716002475,6.333555895480571,9.244733210250837,12.223926970872991,9.08255750373644,9.414689747607913,10.60592092712256,192_7
7.1676207008645,8.089151812336128,1.3466279486574269,7.477912136969906,3.435419726322709,5.624418544894139,5.9455369369187085,9.141064127128507,12.182892949027384,9.050236824270275,9.37753325023784,10.512457517800552,192_8
7.222955235038514,8.05946238681712,1.09117805644897,7.367771701694805,3.276725399801283,5.6240175061873385,5.988237119562152,8.651455983752768,12.151728737855189,8.875846177738598,9.367756191428633,10.522278097489696,192_9
7.704912062127601,9.067177987595763,2.270597914632456,7.730008797286546,3.8262230398378883,8.111794749085862,6.729292937826694,8.822728280142396,12.626383343860175,9.201400530406708,9.79491695173035,10.895678474895139,193_0
7.776814632548673,9.114712585940339,2.7159204823625913,7.874891204861861,3.9869243342198204,8.122272298173256,6.733401891837359,9.048785683331095,12.603751631406325,9.235661512854918,9.76416673520101,10.957082523191616,193_1
7.724544837896037,8.711629950209517,2.18813001354328,7.7751638410544714,3.7892273776969607,8.049817217259077,6.439350371100098,9.12900738817096,12.584370220787832,9.28003225856181,9.688324571587858,10.90935834091613,193_2
7.833424122577771,8.883581694813667,2.270597914632456,7.866705251645549,3.8595593422155856,8.13846738147131,6.972293803244709,8.819070697252377,12.553736034875083,9.406144700494906,9.81371357544205,10.889832192798442,193_3
7.6570727331099775,9.070569874264427,2.728578708674396,7.771704213297144,3.8595593422155856,8.208733794885664,6.694424536689164,8.627437761439449,12.535815984275636,9.204825191288073,9.721431293947493,10.907930991235157,193_4
7.735336223656961,9.046529104239548,2.1487425323598597,7.824072678500707,3.9097983326777497,8.064915961871577,6.623917660471468,9.001918478332843,12.50930038059316,9.093132171070641,9.642763276102817,10.825521096254755,193_5
7.642683991958572,8.783535856159489,2.389442374778286,7.739001184755474,3.6999291804104053,8.11246114855008,6.583716533163499,8.874957763094988,12.492964030470956,9.176300879407783,9.650699181105942,10.902542823000582,193_6
7.644813013947063,9.084578086105234,2.286154852802724,7.647552769188342,3.8430302053697636,8.116251170708342,6.668369420154873,8.91158686609719,12.488413437029122,9.134238961012143,9.688104091188306,10.840910528550559,193_7
7.672292455628756,8.988212970456853,2.499004309166702,7.587231658514841,3.7689220848643927,8.084973344972138,6.382379868564437,9.112271724796578,12.481025755726483,8.972844314437573,9.679029248563292,10.796736403103035,193_8
7.798021401351774,8.754304515223517,2.0153962322267165,7.701431321035305,3.7791263827231343,8.12992812126131,6.597600346132843,8.747630964692972,12.47088395626705,9.09965707318679,9.79173504656559,10.85455044220512,193_9
8.07963868283207,7.6852333965266375,1.1700705629948445,4.422981900313147,5.418073742775451,7.053969784808352,3.76274938007977,8.38340779853638,7.497145596235086,7.087944931549004,9.14765849633851,11.2665725650262,194_0
8.147597032687083,7.87087870614726,2.036882362043554,4.5303269127975785,5.570462716778323,7.155916595872415,3.9417975125590576,8.608170766300816,7.427606715276793,7.278552258911295,9.356312939733897,11.532707068123834,194_1
8.252376588222672,7.863044476237444,1.1700705629948445,4.566775763362746,5.490772570724991,7.177612768218006,3.917784177957782,8.632325804024712,7.379909369328048,7.258177383603073,9.250092994602074,11.45541957896882,194_2
8.1367978618356,7.713327960314986,1.1700705629948445,4.551652208300385,5.467122064147663,7.067888033327045,3.9374741595214484,8.57878989025973,7.305113541906117,7.0768414836439835,9.240468591680479,11.7387886037318,194_3
7.973101827596614,7.9648817730023165,0.0,4.450593515439668,5.438079308923196,6.957285911794128,3.867954914700402,8.355458267446972,7.247080584585756,6.967071855091437,9.441591413392754,11.351480076667901,194_4
8.191358397651475,7.867054414720704,1.4663362995623619,4.336709657003299,5.32517563241759,6.997088029498139,3.9673525033761146,8.63335516096577,7.239613716956031,7.232973952554746,9.173604923432832,11.258874008743323,194_5
8.252868784323773,7.708799756348078,1.1700705629948445,4.508536921292847,5.476463551931511,7.166780644756792,3.7259611022518726,8.704465436637522,7.181760918928057,7.221835825288449,9.324262134949281,11.473922070377558,194_6
8.014210802246687,7.794264693140016,1.6945949044475435,4.316153890523174,5.244095788920987,6.887665942788889,3.788221947748009,8.244888573531803,7.165665191383215,7.052817160530439,9.031343947596953,11.131980108951945,194_7
7.948761996203176,7.512423336849615,1.1700705629948445,4.302712827954156,5.1513629728963926,6.765551463660464,3.453860038045461,8.177359755488268,7.102499355774649,6.990461102029331,9.009987897209788,10.988942738891145,194_8
8.032129166394848,7.44683140487799,1.6945949044475435,4.276820412667734,5.08071400251552,6.911747300251674,3.5915116338186386,8.271860834244858,7.085157346574442,7.067603977083124,8.995203569676084,11.060177780780416,194_9
9.07142051964366,9.47529018027339,2.320934704389403,8.767204548846749,6.474062147703035,7.808368197685595,8.191339930174422,7.589841512182657,12.687111516065467,9.719157312888868,11.526049302741063,13.200224301598292,197_0
9.072976883958441,9.355622317151303,1.3881451473579351,8.655191260820835,6.366852196162075,7.655601058293747,8.140995580017485,7.499361800046494,12.622348916641448,9.723150691729487,11.394716463565816,13.07450846907078,197_1
9.053229017507237,9.060045765931008,1.8028098548650384,8.676299192192815,6.319968622080018,7.651965172847858,8.007108033437778,7.4507253554291175,12.572262209344524,9.601601373702824,11.295539335598722,12.95819823088161,197_2
9.065042243765209,9.040380757345986,1.6005101785503835,8.670920925243015,6.328531838791666,7.554625802864424,7.98767543312866,7.444703388192654,12.538130191406976,9.591581091193483,11.236082657129801,12.845528160830133,197_3
9.06541478797052,9.208927151850867,2.108641056084264,8.687232219162444,6.446072487349651,7.617759576608505,8.003437352092119,7.4481397069314195,12.508177499493298,9.60223980701022,11.235771920671784,12.929436286881232,197_4
9.006383790342635,9.205114518961214,1.9480236283693773,8.676735027666343,6.447657971700401,7.592141978336985,8.008772081155897,7.54890716617932,12.486369388448473,9.633870941865515,11.275225509141336,13.001234099315852,197_5
9.05541087094641,9.075867584378427,1.9480236283693773,8.694424034152048,6.3561076606958915,7.5580529474548435,8.007663024849776,7.521678862555772,12.464239008549027,9.632218199502374,11.215616909991416,12.899813649741949,197_6
8.995589282726867,9.1674085147184,2.5908225112128167,8.609423887200414,6.329324712966793,7.594828495312544,8.058538255848584,7.515344571180436,12.44670962402828,9.60204456483431,11.25434369341836,12.979500300371859,197_7
8.920282145371466,9.201511512039362,2.3317846073984736,8.621809429768412,6.387440323586506,7.584773077612199,7.948699220286884,7.547736064628104,12.430125783045403,9.545645261083763,11.300173978613477,13.120750165757856,197_8
8.866500169234014,9.325808631938614,2.347487710436285,8.661328166824951,6.29156913955832,7.62657020629066,7.916483380818426,7.591637451601512,12.406118373004146,9.579955671788637,11.353487145047856,13.060492087145866,197_9
8.017922771721363,7.2773398647501475,1.99343965498338,8.216403365146821,7.51425465281641,7.488915095860888,5.5263378860961065,6.631357446011573,12.702722837588428,10.112608804932597,9.814975656148322,11.039592744925905,221_0
8.068918001350989,7.394848164031396,1.9822778952669993,8.00412431343587,7.4077895530177065,7.2125402568759736,5.632405799880799,6.807271740403815,12.62236584363666,9.928196424994308,9.821256248047508,11.003253804798733,221_1
8.093964574236496,7.2773398647501475,2.452918783089996,7.954898819275054,7.557240791128278,7.2321709984390115,5.193573938230426,6.747664774941561,12.562935455166041,9.98645929961328,9.667867885896532,10.869937880765002,221_2
8.047609029381828,7.291519960110962,1.4280047608913102,7.78777383353572,7.474393965675909,7.137101776187739,5.578890908155305,6.810828234756731,12.513466123801406,9.794373086281027,9.680042567045202,10.817855325509356,221_3
8.151198764255264,7.386897579328821,2.370589476087282,7.682047125989813,7.220617647526381,6.939576888076162,5.194806971694083,6.7657563895053565,12.453674505577993,9.710044378999426,9.65059759826571,10.79513830941453,221_4
8.1516792988103,7.478496254739237,2.0193371751321565,7.657571555630068,6.9428006239434765,6.853768296714849,5.036230848505436,6.778228554103816,12.407409346434184,9.652844327519334,9.582674512811538,10.659002932115609,221_5
8.059128672110674,7.446014469635205,2.134385352317575,7.633127606836819,6.863803391452954,6.837452024318038,5.137757281966123,6.768058887458475,12.376375366440424,9.511999311358759,9.526306972019517,10.625056157457871,221_6
8.003727047877657,7.388685111772258,2.452918783089996,7.582427284690919,6.886872064662037,6.909975033503155,5.284331113305691,6.903144666424454,12.35452794696518,9.566988648659347,9.5501688750288,10.592391019015558,221_7
8.057229656915563,7.590245879353554,1.99343965498338,7.499761423789535,6.781561970923555,6.734063054173745,5.3855139013948925,6.831066203260063,12.335069948293198,9.648745828997072,9.558777253769636,10.639464044966159,221_8
7.948024139016353,7.418460897547792,2.452918783089996,7.600318954336027,7.106059537548967,6.925922579664264,5.232296253580806,6.769208151420573,12.3147993392382,9.604444896331849,9.509016784321911,10.649022914014052,221_9
7.893057844296798,6.2851908227564115,2.845340104999209,7.424026052973162,6.7420941591473795,7.674467825225822,5.0827836617643705,7.172833802666912,12.73629983579586,9.860005773924167,9.849488847612998,10.977626121321777,222_0
7.810514876571941,6.448906973106271,2.561525039633287,7.581034165689902,7.014614672760704,7.528337739807688,5.131212762426966,7.022055715200534,12.667150797067556,9.82833886802912,9.686747069009717,10.857792286896402,222_1
7.806497374293366,6.322984057058541,2.7854685450668666,7.435562560731575,6.747064747533684,7.472064794125124,5.185521891059409,6.910396228602726,12.614041283856377,10.010821120395667,9.631051627341296,10.76580209596306,222_2
7.760258614487203,6.3411624379192535,3.349514186711855,7.34636139985179,6.796699565316799,7.509584856784033,4.966722137966079,6.8943097313692325,12.573910496201238,10.040089919139355,9.610815271679751,10.760982295275513,222_3
7.941358813303701,6.1841717978916115,2.4624335098449923,7.352932434647268,6.566672429803241,7.357138026753033,4.8309768281260395,6.802863786649007,12.54211264589361,9.68464031446187,9.630278023767463,10.81104380526577,222_4
7.788699738833183,6.1735777488642,2.2778373788856134,7.166257394946258,6.4572927997131115,7.307060715202771,5.035508573292263,6.8197494731665635,12.501057156818147,9.545645261083763,9.583603632747664,10.726103788465448,222_5
7.652155198607277,6.256197791786266,1.6486586255873816,7.321842370734298,6.646967543140073,7.411965738717901,4.97596717281909,6.785813608176895,12.469079865641994,10.002739448559852,9.495419058808501,10.6930720551641,222_6
7.662603626381807,6.205029025244364,2.134385352317575,7.286107998869542,6.504620782886681,7.325449018334801,5.272429601297163,6.757552348196076,12.441801995680127,9.697569781886987,9.465903785299224,10.608081743118467,222_7
7.833010156578818,6.173114586818133,3.0515524312173516,6.966118522279052,6.394704965761964,7.185058681381612,4.766911072889208,6.66961088806445,12.392522244305908,9.496170731314953,9.47455761937915,10.61549901170236,222_8
7.7081911146437605,6.123734735373534,2.5592353713842946,7.187228750363423,6.322964119071781,7.281469775655611,4.588363033773405,6.864940560722776,12.355029383995124,9.327915979009626,9.483213328520526,10.624194775312036,222_9
7.834616612667986,6.985785711078835,1.6314166017615477,7.360068628853105,7.1088258935568875,7.279395460065084,5.331644690052942,6.661513672157922,12.60947451552568,9.623170146233344,9.251014088623817,10.468750539556135,223_0
7.828662008726675,6.791645844573582,2.7863819073858065,6.950442199047226,6.308381752921332,6.692910534614854,5.025341426887411,6.652375452442525,12.457340097407705,8.93914242799629,9.275681695469192,10.441185200833402,223_1
7.838216249124898,6.828639915358829,2.2876592548074277,6.777709871815243,6.28670134809918,6.672454793179666,4.902802614045515,6.57128748835104,12.402818831989238,8.903345596035951,9.169102781732988,10.373872706179673,223_2
7.788400412318088,6.684389477972293,2.283892469415735,6.571893963710469,5.995179861771084,6.649847739545651,4.388947132690868,6.608090594258205,12.366166581541536,8.808201393161971,9.211685023526941,10.448530689296765,223_3
7.84049225099731,6.825870136734585,1.0608723453005733,6.899667097651847,6.409882437892778,6.740388015283536,4.776318470273808,6.71073962681475,12.340864285390701,9.039128868940313,9.180214441938066,10.343249948928134,223_4
7.73329917991946,6.7974938847246,1.8281267562560088,7.29335775799405,6.519868104785667,6.848476967982448,5.23170261152781,6.630624755955347,12.322206915296556,9.143474997547298,9.154570405914006,10.1781557271193,223_5
7.766139079770722,6.776811016847612,1.6529225988418337,6.96397806692732,6.190178777667483,6.639294697679369,4.765965370691066,6.608839976046584,12.295850377803227,8.896723397244962,9.18845938672961,10.36105620062754,223_6
7.765668028703961,6.8908803651473525,2.6310892399660784,6.897985489630371,6.188811550219063,6.714979268326361,4.82564353548439,6.559867018824824,12.262436175611494,8.930683786313988,9.114148803863275,10.284302815506047,223_7
7.727491056641656,6.744111528875491,2.7154302348704182,6.5841005460715385,5.748826647224822,6.537174567898889,4.627149070967736,6.716809980386532,12.235753878237968,8.750980342919856,9.075323431900811,10.225457921393206,223_8
7.711404734669493,6.768161099034075,3.2834144710057642,6.783891291759751,5.9294118138381515,6.60002165785582,4.477336814478207,6.695331836423474,12.207737924832596,8.806671982801427,8.983162304184527,10.167917630586794,223_9
8.395778568773075,8.054889619690357,3.410780978609998,7.558893417009027,6.9239566550403815,7.79656061226703,4.98649436596669,7.6527778072537265,13.16431542117195,8.820190715302328,9.97449624269471,11.1549331456735,224_0
8.468399694141251,8.170072460282316,2.845340104999209,7.436780940701365,6.840189963052705,7.878912912297133,5.049000962315604,7.63112986346242,13.140356983780954,8.649760230701514,9.901976967677095,11.199695510616191,224_1
8.324444122192093,8.11294068181325,2.249340422225221,7.488946167272798,6.852125109722512,7.800026506377819,5.137626823356368,7.531873873131646,13.106792127860315,8.769351707798972,9.903983540513753,11.097407664036089,224_2
8.282370594782666,8.175153485158171,2.7904832803291533,7.395551072269041,6.78055302645658,7.861855470967977,5.0075193111264245,7.5042324661101345,13.079714043023426,8.569680216623558,9.836268701722142,11.092997268819941,224_3
8.267448958304849,8.027454771485367,2.7251865318888853,7.40890086802167,6.836139925364363,7.795051939844045,4.988768345554375,7.544414411544969,13.054609999342208,8.641552089287142,9.823555903570345,11.061511701726813,224_4
8.18097425511179,7.971139467532596,2.4693538292569213,7.368935370055324,6.841259291256295,7.670998425063703,4.959575867096438,7.332325601315871,13.024756453216698,8.6652683094816,9.751386714596729,10.976731889569614,224_5
8.177016322711658,7.870946558443354,2.4855239592133245,7.350908586800913,6.810019939854722,7.604064121218255,4.925480810194867,7.441216114486423,12.990001611608161,8.592218204102585,9.735958051653306,10.975869176008796,224_6
8.198028096838703,7.978211928281743,2.778589431914614,7.462629684306933,6.93277303870645,7.621249600328587,5.029566103561189,7.639022138895432,12.966642751035662,8.767069548612854,9.757371269331658,11.001374763565636,224_7
8.129797182441587,7.9649821436000465,3.037087246016266,7.349409445315655,6.798312363881901,7.646300634558124,4.95331997382949,7.464726304042012,12.94918128814133,8.619549198254367,9.761445763283946,10.959674710437762,224_8
8.121744418913572,7.840942458516022,2.707062380034257,7.447589390487623,6.878440890169197,7.528451232689182,4.946235003404416,7.477943552141634,12.925281176336462,8.688229082310558,9.715035911710938,10.95206228821876,224_9
