Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,Sr,Cd,Sn,Ba,Hg,Pb,name
1042.96667,540.0,106.06667,249.24444,7483.27778,17.11111,1.0,3.22222,512.5,3576.6,36.0,181.66667,1110.66667,2.88889,3.33333,3.55556,1.0,20.11111,24.91111,APP.10_9
1535.17778,1003.44444,108.92222,715.96667,13741.87778,90.55556,1.0963,1.0,1108.82222,6043.08889,59.55556,217.13333,2553.66667,3.33333,2.55556,3.66667,1.88889,17.44444,17.11111,APP.11_0
1435.84444,1012.55556,85.36667,641.18889,12513.76667,43.55556,1.0963,2.11111,986.93333,5885.2,54.11111,188.68889,2153.44444,2.33333,1.77778,5.22222,8.55556,20.44444,17.0,APP.11_1
1446.28889,1038.77778,74.14444,790.74444,13760.65556,94.88889,1.0963,4.33333,1115.6,5575.75556,62.66667,180.68889,2231.11111,2.22222,1.0,2.44444,2.77778,25.22222,14.33333,APP.11_2
1314.51111,898.44444,84.7,636.07778,12606.21111,115.66667,1.0,2.11111,953.26667,5339.86667,55.77778,203.13333,2024.66667,3.55556,3.44444,3.77778,3.77778,17.33333,20.11111,APP.11_3
1401.06667,937.77778,90.36667,703.07778,13725.65556,123.33333,1.0,5.44444,1039.15556,5203.42222,55.44444,194.13333,2139.33333,3.0,2.66667,3.55556,4.66667,25.77778,17.88889,APP.11_4
1305.06667,869.22222,82.81111,561.3,12241.76667,121.33333,1.0,1.0,927.26667,5061.53333,50.77778,205.02222,2055.66667,2.77778,1.77778,2.77778,4.77778,24.88889,18.11111,APP.11_5
1310.28889,888.33333,85.7,672.3,13059.65556,146.22222,1.0,2.11111,940.93333,4946.64444,53.33333,184.35556,2108.33333,2.0,4.11111,5.33333,1.0,21.37037,15.33333,APP.11_6
1256.4,877.33333,67.47778,566.52222,11885.76667,45.55556,1.0963,3.22222,918.26667,4825.75556,50.77778,159.02222,2012.66667,3.33333,2.55556,3.22222,1.88889,21.22222,13.22222,APP.11_7
1255.84444,857.11111,73.92222,599.96667,11925.76667,144.0,1.0,14.66667,943.71111,4726.31111,54.33333,184.35556,2075.55556,1.88889,2.66667,3.11111,4.77778,17.88889,13.22222,APP.11_8
1270.95556,917.66667,82.58889,605.18889,11685.98889,109.22222,1.0,4.33333,881.82222,4636.53333,53.88889,205.35556,2138.55556,3.11111,2.66667,2.44444,5.55556,32.0,20.77778,APP.11_9
3034.31111,1936.0,151.72222,1426.35556,32249.5,137.88889,1.0,1.0,2306.5,18590.6,93.51111,469.22222,4325.88889,3.82963,8.44444,5.0,8.55556,48.15556,33.24444,APP.12_0
2885.64444,1755.11111,151.72222,1460.02222,31506.61111,105.33333,1.0,1.87407,2210.72222,17676.37778,94.17778,432.66667,4136.88889,3.82963,9.22222,9.66667,4.77778,41.26667,34.02222,APP.12_1
2949.64444,1790.44444,154.27778,1498.68889,31932.83333,127.55556,1.0,2.98519,2236.05556,16856.37778,95.06667,403.66667,4208.44444,5.04444,7.55556,3.88889,2.88889,46.26667,33.57778,APP.12_2
2756.08889,1603.55556,149.16667,1418.68889,31401.38889,141.88889,1.0,1.87407,2107.94444,16299.6,88.51111,364.11111,3990.33333,3.4963,6.77778,4.88889,2.77778,45.26667,33.13333,APP.12_3
2596.64444,1697.66667,137.94444,1315.46667,29535.72222,51.55556,1.0,2.98519,2108.27778,15501.26667,89.62222,434.22222,4040.44444,3.82222,1.0,6.11111,6.77778,37.37778,33.35556,APP.12_4
2620.64444,1729.0,135.38889,1400.57778,27498.83333,49.44444,1.1037,1.87407,2033.72222,14518.93333,83.84444,395.44444,3957.33333,3.37778,2.66667,2.77778,1.88889,44.04444,30.57778,APP.12_5
2445.75556,1592.44444,182.38889,1145.24444,22605.05556,131.66667,1.0,5.84444,1716.5,13484.15556,72.06667,294.88889,3428.0,4.93333,6.77778,5.88889,2.88889,38.48889,42.57778,APP.12_6
2259.86667,1479.22222,148.05556,1106.68889,21287.61111,76.33333,1.0,6.71852,1681.5,13100.82222,64.4,311.66667,3184.44444,2.74074,9.22222,7.88889,7.66667,20.71111,40.24444,APP.12_7
2282.31111,1343.0,137.83333,1119.46667,19781.72222,63.77778,1.0,3.85926,1637.5,12722.48889,78.95556,322.55556,3159.22222,3.4,6.66667,4.66667,5.66667,23.31111,42.02222,APP.12_8
2296.64444,1349.11111,145.27778,1091.13333,21691.5,164.55556,1.0,1.87407,1594.83333,12475.82222,68.95556,331.11111,3286.22222,4.38519,9.22222,7.0,4.77778,34.93333,36.68889,APP.12_9
1172.04444,697.44444,229.38889,433.02222,9896.81111,105.11111,1.0,1.0,673.25556,6252.53333,37.48889,337.0,1411.66667,3.55556,1.0,4.22222,1.0,27.91111,34.95556,APP.13_0
1138.48889,682.55556,180.27778,489.68889,9739.92222,191.11111,1.11111,1.87037,634.7,5869.42222,32.15556,314.88889,1293.0,2.44444,1.0,4.11111,4.66667,23.8,29.62222,APP.13_1
1160.04444,623.77778,125.61111,440.57778,9483.25556,80.33333,1.11111,2.74074,632.92222,5696.42222,32.48889,293.55556,1289.88889,2.11111,1.77778,6.0,8.55556,22.91111,32.17778,APP.13_2
1182.15556,591.44444,117.72222,355.68889,9125.81111,117.22222,1.0,3.85185,637.7,5570.53333,37.6,301.11111,1217.77778,2.88889,1.77778,5.22222,2.77778,27.02222,39.51111,APP.13_3
1191.6,613.66667,121.05556,464.02222,9693.47778,107.11111,1.0,3.85185,647.81111,5318.53333,35.26667,296.11111,1291.0,1.88889,1.0,5.88889,4.66667,24.35556,29.84444,APP.13_4
1118.37778,615.77778,154.94444,484.46667,9804.36667,127.88889,1.11111,2.98148,651.47778,5208.53333,32.6,320.55556,1282.77778,3.44444,3.33333,8.66667,2.77778,22.35556,32.62222,APP.13_5
1027.48889,515.66667,125.61111,463.91111,8483.92222,72.22222,1.0,2.74074,602.58889,5066.75556,34.04444,296.44444,1195.0,3.11111,1.77778,5.0,4.77778,16.91111,31.4,APP.13_6
1084.04444,559.33333,111.61111,466.57778,8908.92222,35.33333,1.22222,1.0,578.81111,4988.42222,32.04444,272.55556,1211.22222,2.33333,5.0,5.11111,1.0,24.8,32.62222,APP.13_7
1065.6,529.88889,124.27778,448.35556,8247.81111,31.33333,1.0,3.61111,587.92222,4915.2,34.15556,276.55556,1168.55556,2.44444,3.44444,5.11111,7.77778,19.91111,29.62222,APP.13_8
1167.26667,555.33333,155.61111,538.68889,9471.36667,162.44444,1.0,4.72222,656.36667,4815.08889,32.48889,311.55556,1320.66667,2.66667,5.11111,4.77778,3.77778,22.91111,32.17778,APP.13_9
2536.78889,1163.51111,141.96667,720.95556,19017.86667,184.88889,1.0,1.0,1182.32222,7796.84444,40.12222,458.68889,1960.95556,3.33333,10.0,10.12593,8.66667,29.85556,43.35556,APP.14_0
2466.34444,1064.62222,165.85556,661.51111,17807.2,168.55556,1.20741,1.0,1166.54444,7371.95556,39.78889,353.02222,1883.06667,7.22222,9.22222,4.74074,8.44444,32.52222,35.68889,APP.14_1
2341.78889,1071.62222,172.96667,702.84444,17113.08889,107.0,1.1037,1.79259,1109.43333,6857.84444,38.01111,332.57778,1677.28889,5.88889,4.22222,8.68148,9.44444,32.63333,33.02222,APP.14_2
2327.23333,964.4,122.3,512.17778,15701.64444,80.44444,1.0,2.58519,1058.21111,6595.4,44.56667,318.57778,1659.84444,3.44444,6.0,5.13333,10.44444,27.63333,42.91111,APP.14_3
2408.78889,1061.51111,128.07778,684.84444,16648.64444,70.11111,1.0,2.9037,1140.76667,6432.84444,40.67778,330.02222,1609.62222,4.44444,3.44444,4.24444,1.88889,31.63333,28.24444,APP.14_4
2324.34444,964.51111,146.52222,679.62222,16135.86667,115.0,1.1037,2.9037,1038.87778,6285.95556,41.23333,305.46667,1621.51111,4.44444,1.77778,6.04444,8.44444,28.52222,33.24444,APP.14_5
2281.12222,996.95556,121.41111,563.62222,16092.53333,45.44444,1.0,4.80741,1108.1,6180.95556,39.23333,276.8,1603.62222,4.55556,4.22222,2.8,2.77778,25.74444,30.91111,APP.14_6
2199.78889,962.62222,120.18889,597.06667,15471.97778,64.0,1.0,2.58519,1061.98889,6065.84444,43.9,275.68889,1535.28889,3.0,1.77778,3.85185,5.55556,23.18889,25.24444,APP.14_7
2156.67778,911.06667,128.07778,640.95556,15442.42222,37.33333,1.1037,5.6,1002.98889,5939.73333,37.56667,288.91111,1536.51111,4.11111,4.22222,6.32593,1.0,25.63333,36.35556,APP.14_8
2160.34444,883.73333,121.3,604.73333,14943.42222,59.77778,1.0,1.0,975.65556,5876.84444,34.12222,239.46667,1479.51111,2.77778,1.77778,8.57037,4.66667,19.96667,24.24444,APP.14_9
2113.41111,1036.0,197.54444,539.13333,15298.75556,49.88889,1.0,1.0,908.68889,11276.95556,46.55556,330.68889,2226.88889,5.77778,5.11111,3.33333,3.51111,24.41111,56.88889,APP.15_0
1969.3,1033.88889,174.54444,614.02222,14571.75556,17.33333,1.0,1.0,927.46667,10263.84444,51.88889,296.91111,2281.55556,4.0,5.11111,3.11111,1.0,29.96667,58.22222,APP.15_1
1844.18889,863.11111,174.21111,557.24444,12940.86667,99.33333,1.0,1.0,725.02222,9397.62222,39.44444,279.57778,1653.66667,4.88889,1.77778,7.11111,4.51111,20.63333,59.66667,APP.15_2
1821.3,864.11111,178.43333,482.35556,12644.42222,33.44444,1.0,5.2,748.57778,9009.28889,39.33333,270.46667,1683.77778,5.33333,2.66667,5.88889,2.75556,18.41111,62.66667,APP.15_3
1598.52222,992.44444,134.1,657.8,14093.2,1.0,1.0,1.0,994.46667,8835.95556,51.11111,290.8,2208.77778,4.22222,2.55556,3.11111,1.0,26.3,41.88889,APP.15_4
1653.85556,816.66667,149.21111,541.91111,11966.86667,10.88889,1.0,2.02963,718.35556,8631.51111,37.0,256.13333,1729.55556,7.22222,1.0,11.88889,1.0,17.63333,67.0,APP.15_5
1674.18889,857.22222,146.76667,477.35556,11801.31111,10.88889,1.0,3.05926,745.91111,8505.4,35.55556,263.46667,1734.0,3.44444,1.77778,4.66667,1.0,16.85556,49.55556,APP.15_6
1607.07778,815.77778,149.43333,505.68889,11654.64444,27.33333,1.0,3.05926,669.91111,8321.84444,34.88889,268.24444,1667.33333,4.0,2.55556,5.0,1.0,17.18889,63.11111,APP.15_7
1817.74444,779.44444,185.87778,508.24444,11219.42222,1.0,1.0,1.0,582.68889,8174.95556,33.88889,230.91111,1445.33333,5.77778,1.0,5.88889,1.0,13.18889,65.22222,APP.15_8
1780.3,701.55556,192.65556,394.8,10997.64444,43.22222,1.0,4.17037,504.91111,8022.73333,31.33333,216.8,1113.0,6.55556,1.77778,6.22222,2.51111,14.67407,80.0,APP.15_9
1741.53333,747.0,242.32222,475.4,12501.81111,248.88889,1.22222,1.99259,874.58889,8355.48889,54.55556,404.55556,1921.84444,5.0,1.0,10.11111,8.66667,18.34815,75.11111,APP.15D_0
1573.42222,809.66667,246.98889,447.17778,10661.25556,189.0,1.11111,4.0963,737.7,7783.37778,50.0,307.55556,1538.84444,4.44444,1.0,12.33333,5.66667,14.32222,72.55556,APP.15D_1
1672.08889,775.33333,228.76667,511.62222,10775.14444,125.44444,1.0,5.08889,741.25556,7311.15556,47.33333,267.55556,1338.51111,4.33333,1.77778,13.0,8.55556,15.43333,79.55556,APP.15D_2
1605.31111,642.0,287.87778,348.95556,10320.14444,156.33333,1.0,8.18519,598.36667,6875.71111,47.0,333.88889,1231.17778,3.44444,1.0,14.44444,5.66667,17.32222,84.0,APP.15D_3
1614.97778,683.44444,234.76667,359.51111,11059.14444,240.33333,1.11111,3.97778,634.92222,6529.48889,48.0,323.33333,1185.62222,3.77778,1.77778,13.33333,10.44444,11.34815,77.0,APP.15D_4
