Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,Sr,Cd,Sn,Ba,Hg,Pb,name
4265.02222,492.54444,994.82222,107.57778,5487.91111,27.0,1.0,2.11111,144.37778,9267.33333,5.0,68.66667,137.0,25.77778,15.11852,5.11111,1.0,1.0,26.44444,102vD_1
4015.8,449.32222,981.37778,226.72963,5840.8,37.44444,1.0,4.33333,124.71111,8984.0,5.11111,69.11111,128.22222,25.66667,11.24444,2.11111,1.0,1.0,20.0,102vD_2
4393.13333,485.65556,1004.6,75.38519,6539.35556,21.22222,1.11111,1.0,129.82222,8658.66667,6.44444,63.33333,133.55556,25.55556,13.75556,2.88889,1.0,1.0,19.88889,102vD_3
4431.24444,450.32222,913.15556,194.36667,5808.68889,29.22222,1.0,1.0,119.6,8417.11111,3.0,70.22222,112.77778,22.11111,16.8963,4.11111,1.0,1.0,22.77778,102vD_4
4335.02222,456.32222,942.26667,104.91111,6556.46667,53.55556,1.11111,1.0,113.37778,8217.88889,5.22222,64.88889,125.55556,24.77778,16.32593,2.11111,1.88889,1.0,23.55556,102vD_5
4375.68889,492.65556,809.15556,173.21481,5534.68889,35.22222,1.0,3.22222,119.48889,8097.11111,5.11111,68.66667,134.44444,18.44444,10.54815,1.66667,1.88889,1.0,24.55556,102vD_6
3875.02222,421.1,983.6,91.42593,5532.91111,39.11111,1.0,3.22222,103.6,7955.44444,4.88889,60.77778,121.0,20.55556,14.57778,1.77778,1.88889,1.0,15.88889,102vD_7
4335.91111,459.65556,850.6,94.09259,5369.46667,29.22222,1.0,1.0,113.71111,7761.33333,4.55556,66.44444,137.77778,19.11111,10.8963,1.66667,1.88889,1.0,17.33333,102vD_8
3769.46667,386.76667,813.93333,106.98148,5615.8,27.11111,1.0,1.0,106.04444,7425.44444,3.66667,52.77778,102.44444,22.66667,8.81481,2.33333,1.0,1.0,16.11111,102vD_9
3422.61111,520.17778,490.53333,87.3,8577.34444,235.02222,1.59259,11.0,60.72222,16667.48889,1.42963,3284.88889,24.66667,24.18889,1.0,395.6,62.11111,88.64444,2414.44444,108_0
