Na_a,Mg_a,Al_a,S_a,K_a,Ti_a,V_a,Cr_a,Mn_a,Fe_a,Co_a,Cu_a,Zn_a,Sr_a,Cd_a,Sn_a,Ba_a,Hg_a,Pb_a,name_a,Na_i,Mg_i,Al_i,S_i,K_i,Ti_i,V_i,Cr_i,Mn_i,Fe_i,Co_i,Cu_i,Zn_i,Sr_i,Cd_i,Sn_i,Ba_i,Hg_i,Pb_i,name_i
106102.73333,8608.11111,14336.48889,1980.6,124792.01111,21.11111,4.22222,5.2,2287.71111,156018.74444,114.55556,786.44444,5355.51111,369.11111,223.86667,28.55556,28.77778,277.7,6252.33333,102vB.a_4,2423.83333,258.24444,332.0,151.93333,2513.02222,2.88889,1.0,2.11111,67.95556,3810.51111,1.88889,72.33333,99.66667,4.0,5.64444,2.33333,1.88889,7.71111,19.87407,102vB.i_4
107233.06667,6843.11111,16149.71111,1167.48889,110169.12222,6.88889,2.88889,4.17037,1971.48889,154487.07778,128.88889,871.0,3127.84444,351.66667,204.75556,27.55556,31.88889,264.25556,5798.88889,102vB.a_5,2641.94444,116.8,301.0,176.60741,2477.46667,1.0,1.0,4.33333,43.73333,3668.51111,1.44444,68.44444,83.66667,3.0,11.17778,1.33333,1.0,3.46667,17.95556,102vB.i_5
101475.84444,7341.11111,14192.6,1910.82222,121437.01111,12.88889,2.44444,7.34074,2002.71111,152620.74444,111.22222,746.44444,4141.84444,358.0,183.97778,27.22222,31.88889,246.92222,5627.77778,102vB.a_6,2679.72222,79.68889,310.11111,206.28148,2731.46667,1.0,1.0,1.0,36.84444,3558.84444,2.55556,74.33333,51.33333,2.66667,3.68889,1.77778,1.0,3.97778,14.06667,102vB.i_6
103907.62222,7639.33333,14334.15556,1327.37778,114731.01111,27.33333,2.88889,5.2,2092.71111,150499.41111,103.66667,826.11111,4307.73333,334.11111,197.86667,43.11111,43.55556,297.25556,6221.11111,102vB.a_7,2918.94444,83.46667,324.77778,236.28889,2839.68889,1.0,1.0,2.11111,39.17778,3427.51111,2.44444,79.88889,54.33333,2.77778,6.95556,1.66667,1.0,5.82222,17.17778,102vB.i_7
103388.62222,7099.44444,16107.71111,1028.04444,118025.01111,30.77778,3.0,8.45185,1964.48889,148850.63333,115.66667,709.11111,4203.28889,395.33333,206.42222,31.22222,47.88889,222.7,5280.0,102vB.a_8,2790.16667,104.8,317.44444,145.71852,2857.57778,6.88889,1.0,3.22222,33.4,3333.28889,1.44444,60.88889,47.0,2.55556,11.48889,2.11111,1.0,5.62222,12.28889,102vB.i_8
97930.51111,6095.11111,15500.93333,1236.16296,95934.34444,17.22222,2.22222,3.14074,1820.6,147975.74444,103.11111,718.66667,2919.28889,347.88889,175.86667,28.66667,20.22222,161.92222,7308.88889,102vB.a_9,2533.27778,118.91111,273.33333,147.28148,2531.24444,7.0,1.0,3.22222,38.73333,3265.06667,1.55556,70.11111,49.44444,2.88889,11.48889,1.0,1.0,3.53333,10.95556,102vB.i_9
96698.82222,7663.31111,18519.77778,10383.26667,287822.57778,19.0,5.0,4.33333,2845.61111,190109.43333,92.22222,1633.55556,2747.0,926.44444,283.57778,45.11111,38.77778,214.37778,391.0,102vC.a_0,7085.46667,382.96667,547.75556,116.05185,8213.74444,15.0,1.0,1.0,73.34444,7007.86667,6.55556,54.22222,130.33333,7.66667,5.5037,2.44444,2.88889,16.62222,20.11111,102vC.i_0
97970.26667,7563.31111,16824.77778,5757.71111,252571.46667,84.44444,5.44444,3.22222,2494.05556,178163.32222,81.11111,1544.11111,2465.0,907.66667,258.13333,65.66667,53.55556,1959.15556,379.77778,102vC.a_1,7213.8,386.74444,574.64444,226.82963,8542.74444,11.0,1.0,2.11111,71.23333,6708.75556,7.11111,58.0,133.11111,8.0,12.34074,2.88889,2.88889,18.62222,18.11111,102vC.i_1
94782.15556,7337.86667,18695.77778,5690.04444,289720.24444,102.77778,4.22222,7.66667,2601.05556,171955.76667,75.66667,1746.33333,2773.55556,860.66667,286.02222,61.55556,54.33333,305.26667,357.88889,102vC.a_2,6649.46667,353.74444,551.53333,270.60741,8180.18889,68.44444,1.11111,1.0,77.34444,6435.97778,7.33333,73.88889,131.44444,10.66667,11.21481,1.33333,2.88889,30.17778,17.0,102vC.i_2
89790.93333,7286.08889,17178.88889,6702.82222,286567.8,74.11111,7.11111,4.33333,2573.94444,168588.1,82.11111,1511.88889,2287.77778,912.0,258.24444,67.55556,77.11111,394.93333,622.66667,102vC.a_3,6862.46667,338.41111,527.75556,275.82963,8106.96667,68.44444,1.0,1.0,74.12222,6262.97778,7.33333,63.33333,124.33333,8.22222,1.91852,2.88889,1.88889,22.84444,15.88889,102vC.i_3
