Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,Sr,Cd,Sn,Ba,Hg,Pb,name
155.9,68.55556,353.16667,154.61481,388.0,85.09259,1.0,4.80741,9.44444,6729.34444,1.62963,180.11111,1.24815,1.88889,1.0,7.07407,1.0,1.0,6.44444,2FeCuAl_0
167.67778,49.22222,301.94444,194.84444,389.88889,206.2037,1.0,4.48889,13.0,6472.23333,1.52593,129.77778,1.58148,1.22222,1.0,11.03704,1.0,1.22222,5.22222,2FeCuAl_1
174.45556,57.44444,348.16667,156.4,374.88889,77.65556,1.0,7.93333,11.11111,6251.9,1.42222,234.0,1.82963,1.11111,1.0,6.48148,2.77778,1.0,3.66667,2FeCuAl_2
170.45556,91.66667,329.16667,133.83704,411.33333,22.86667,1.0,7.18519,8.22222,6079.12222,1.74074,147.88889,1.0,1.44444,3.44444,7.0,1.0,1.22222,3.66667,2FeCuAl_3
167.56667,67.33333,316.05556,125.4,361.44444,159.42963,1.0,4.80741,10.44444,5968.78889,1.1037,199.44444,1.58148,1.66667,1.0,13.85185,1.0,1.0,4.33333,2FeCuAl_4
170.23333,28.33333,292.94444,130.51111,373.77778,13.42963,1.0,9.51852,9.44444,5853.01111,1.42222,229.11111,1.0,1.77778,1.0,8.92593,2.88889,1.0,4.22222,2FeCuAl_5
158.34444,42.44444,287.94444,145.84444,372.44444,6.21481,1.11111,6.71111,9.22222,5779.45556,1.42963,228.22222,3.18889,2.0,1.0,5.2963,1.0,1.88889,3.33333,2FeCuAl_6
157.67778,61.33333,284.5,105.61481,399.44444,106.43333,1.0,2.58519,7.55556,5601.45556,1.64444,190.77778,1.0,1.22222,1.0,6.2963,1.88889,1.0,5.22222,2FeCuAl_7
151.34444,34.22222,284.61111,122.84444,342.66667,7.76667,1.0,5.28148,9.88889,5480.78889,1.20741,150.77778,1.0,1.55556,1.0,6.2963,1.88889,1.44444,2.33333,2FeCuAl_8
151.34444,40.22222,285.16667,117.51111,373.11111,45.98148,1.0,6.39259,9.11111,5307.56667,1.42222,171.22222,1.0,1.55556,1.0,7.96296,1.0,1.22222,4.33333,2FeCuAl_9
493.37778,42.55556,49.3,113.67407,8307.91111,45.44444,1.0,5.37778,18.04444,5474.63333,1.11111,219.13333,1.27778,2.33333,1.0,1.0,8.44444,1.84444,17.64444,2FeCuK_0
441.71111,52.33333,42.3,86.38148,6970.24444,58.0,1.0,5.37778,14.93333,4797.96667,1.11111,269.8,2.16667,2.88889,1.0,2.88889,2.88889,1.84444,10.75556,2FeCuK_1
430.48889,32.11111,47.63333,91.6037,7073.8,23.11111,1.0,3.54815,12.93333,4210.3,1.22222,225.46667,1.0,4.0,1.0,2.44444,1.88889,2.04444,10.31111,2FeCuK_2
