Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,Sr,Cd,Sn,Ba,Hg,Pb,name
771.03333,343.44444,133.87778,21.57778,1600.15556,10.48889,1.0,2.11111,37.74444,12112.66667,24.55556,49.88889,12.44444,33.33333,1.0,11.44444,6.55556,74.8,16.64444,222_1
750.81111,293.77778,151.54444,50.43333,1663.71111,82.13333,1.11111,1.0,32.52222,11577.11111,25.44444,47.77778,12.77778,29.88889,1.0,7.33333,6.66667,68.02222,16.53333,222_2
752.81111,184.66667,132.54444,23.16667,1565.71111,29.04444,1.0,3.22222,24.41111,10926.44444,20.44444,34.44444,11.55556,25.22222,1.0,5.22222,11.33333,75.46667,14.08889,222_3
681.36667,148.33333,132.32222,18.91111,1487.82222,85.51111,1.0,1.0,17.74444,10411.66667,19.66667,34.55556,8.22222,22.66667,1.68889,4.11111,7.55556,61.8,9.75556,222_4
680.36667,43.33333,102.32222,33.61111,1504.48889,8.97778,1.0,6.66667,12.07778,10049.66667,15.22222,36.77778,7.0,20.33333,1.0,6.22222,4.77778,61.57778,11.75556,222_5
675.7,68.66667,112.65556,19.86667,1410.82222,22.22222,1.0,3.22222,11.26667,9776.55556,17.22222,36.55556,8.44444,21.66667,1.68889,4.88889,1.88889,50.24444,8.64444,222_6
674.58889,66.66667,117.87778,23.16667,1458.37778,8.73333,1.0,4.33333,13.3,9503.77778,17.44444,29.55556,8.88889,19.66667,1.0,6.55556,11.44444,63.68889,7.99259,222_7
630.47778,43.33333,111.1,59.28889,1313.82222,61.22222,1.0,6.55556,12.18889,9225.22222,14.88889,29.55556,10.88889,13.77778,1.0,4.0,3.77778,48.68889,9.08889,222_8
653.47778,89.88889,114.98889,31.68889,1321.6,40.88889,1.0,1.0,13.3,9068.11111,15.88889,33.88889,9.0,21.55556,1.0,4.0,7.55556,49.8,10.53333,222_9
629.84444,428.11111,130.35556,50.96296,994.37778,4552.88889,1.31852,3.14074,24.22222,7971.11111,19.93333,36.46667,8.0,32.22222,1.0,17.62222,7.94444,100.72222,13.66667,223_0
470.06667,232.11111,137.02222,32.51852,904.6,5175.66667,1.1037,1.0,23.77778,7383.55556,16.26667,33.02222,8.22222,24.88889,1.0,11.51111,6.57778,67.83333,22.55556,223_1
503.4,287.77778,152.02222,45.85185,883.37778,4564.88889,1.0,3.14074,24.11111,7105.44444,16.26667,29.35556,8.33333,23.22222,1.0,12.76296,7.15556,54.38889,10.44444,223_2
465.06667,217.11111,130.35556,64.14815,839.15556,1910.0,1.20741,3.05926,24.33333,6932.33333,16.15556,28.8,6.88889,23.44444,1.0,11.87407,12.15556,71.72222,22.44444,223_3
429.84444,199.77778,107.91111,64.14815,759.6,1607.88889,1.0,1.0,24.22222,6690.88889,19.26667,33.13333,14.77778,20.11111,1.0,10.68148,6.57778,60.61111,34.22222,223_4
429.62222,168.55556,104.91111,53.74074,765.93333,1853.44444,1.42222,3.05926,26.88889,6413.11111,18.48889,20.57778,9.33333,24.44444,1.0,7.23704,9.36667,64.72222,24.85185,223_5
382.62222,194.66667,113.68889,66.77778,736.15556,2605.22222,1.20741,2.02963,25.22222,6208.11111,14.26667,23.24444,12.66667,17.33333,1.0,8.93333,17.83333,42.38889,53.55556,223_6
378.4,158.22222,98.35556,50.96296,672.93333,2024.33333,1.0,1.0,29.44444,6103.66667,13.04444,23.57778,16.22222,18.66667,1.0,12.20741,14.15556,45.83333,52.66667,223_7
377.51111,149.44444,91.35556,79.2963,680.04444,530.11111,1.0,1.0,30.44444,6003.77778,15.82222,23.8,13.33333,17.44444,1.71852,13.31852,11.94444,56.94444,44.11111,223_8
391.28889,237.0,97.8,71.81481,699.15556,2097.88889,1.0,2.02963,29.11111,5893.66667,12.71111,34.02222,15.77778,17.11111,1.0,10.17778,12.73333,51.66667,55.33333,223_9
3895.87778,1848.0,155.72222,129.48889,3928.63333,9012.0,1.0,3.05926,201.17778,32564.04444,240.0,149.88889,37.11111,78.77778,1.0,10.44444,31.0,28.3,54.33333,224_0
2689.32222,1214.77778,131.27778,147.37778,3489.74444,7770.44444,1.22222,2.02963,187.95556,30121.37778,244.66667,130.55556,36.33333,56.11111,1.0,10.22222,14.33333,30.96667,47.11111,224_1
1305.98889,811.88889,112.38889,142.26667,2537.52222,1512.33333,1.22222,1.0,201.28889,28626.15556,291.55556,56.77778,37.11111,35.66667,1.0,13.77778,1.0,24.63333,39.66667,224_2
1821.54444,1262.33333,146.38889,139.71111,2821.52222,5431.0,1.11111,4.08889,208.06667,27704.82222,277.88889,73.77778,54.22222,34.66667,1.0,14.77778,8.66667,20.85556,45.88889,224_3
1390.98889,784.44444,135.16667,132.57037,2532.74444,2131.33333,1.33333,1.0,199.4,27004.93333,280.0,61.88889,47.44444,37.55556,1.0,11.22222,7.44444,24.07778,44.66667,224_4
1658.76667,947.11111,129.61111,137.26667,2622.07778,3740.33333,1.66667,1.0,185.62222,26563.04444,249.0,69.11111,36.22222,37.66667,1.0,11.0,11.44444,29.52222,52.0,224_5
1280.1,631.0,136.83333,119.15556,2508.18889,1834.0,1.0,2.02963,189.51111,26115.71111,263.11111,46.66667,42.33333,23.22222,1.0,7.22222,3.77778,24.52222,34.0,224_6
1347.76667,893.55556,116.94444,121.82222,2404.07778,2044.66667,1.22222,2.02963,182.95556,25810.37778,268.77778,52.22222,47.0,28.77778,1.0,8.22222,4.77778,28.63333,43.66667,224_7
1376.21111,733.88889,122.61111,178.6,2395.74444,2770.44444,1.11111,4.17037,179.06667,25484.26667,245.44444,56.11111,39.55556,40.88889,1.0,7.44444,31.22222,26.41111,60.22222,224_8
1668.87778,1067.55556,131.16667,134.6,2620.52222,3809.11111,1.0,5.28148,180.28889,25221.26667,235.55556,57.22222,42.33333,44.44444,1.0,8.0,54.77778,20.07778,61.55556,224_9
