Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,Sr,Cd,Sn,Ba,Hg,Pb,name
4356.42222,1914.88889,738.23333,782.9,30145.25556,402.55556,1.0,3.85926,644.76667,28505.45556,66.22222,183.22222,422.41111,19.88889,1.77778,8.02963,36.0,57.15556,95.55556,197.i_1
4654.2,1772.44444,645.12222,721.01111,33028.14444,505.33333,1.0,2.74815,586.87778,27116.01111,63.11111,173.77778,405.96667,11.88889,1.0,4.42963,21.11111,58.04444,96.44444,197.i_2
4735.64444,1613.66667,644.9,782.78889,32033.25556,386.11111,1.0,1.87407,588.87778,25774.23333,60.22222,166.11111,350.18889,15.77778,1.0,9.03704,31.88889,54.26667,82.66667,197.i_3
4213.64444,1704.66667,580.12222,720.9,29742.47778,791.0,1.0,4.73333,536.65556,24112.01111,55.88889,142.11111,349.41111,12.55556,2.55556,9.80741,17.11111,47.26667,87.55556,197.i_4
4260.64444,1583.44444,643.67778,646.12222,27902.58889,538.33333,1.0,4.73333,523.76667,22786.67778,53.55556,143.66667,286.07778,14.11111,1.0,9.35556,22.11111,54.26667,80.55556,197.i_5
4255.64444,1451.88889,563.23333,628.01111,28091.7,784.88889,1.11111,4.4963,515.32222,21529.9,49.66667,143.88889,310.41111,12.55556,1.0,5.48148,24.0,53.26667,78.88889,197.i_6
4453.53333,1409.66667,550.67778,612.56667,30024.03333,1374.66667,1.0,4.73333,497.1,20956.67778,50.55556,149.88889,300.41111,13.22222,1.0,11.91852,22.11111,51.15556,107.11111,197.i_7
3928.08889,1366.11111,535.45556,584.23333,24832.36667,1236.88889,1.0,4.97037,450.21111,20226.01111,49.33333,128.66667,284.18889,17.0,1.0,8.46667,22.11111,56.15556,100.66667,197.i_8
4453.64444,1385.44444,581.34444,687.56667,30214.81111,1027.55556,1.0,10.45185,512.65556,19547.9,53.88889,150.22222,322.96667,13.55556,1.0,12.25185,21.11111,53.6,84.88889,197.i_9
1061.36667,355.62222,239.61111,132.28889,2117.3,10.88889,1.77778,9.75556,55.8,15052.51111,26.0,24.82222,23.0,39.33333,1.0,4.54815,13.44444,66.45556,44.95556,221.i_0
929.25556,326.4,253.38889,139.84444,2068.41111,14.88889,1.33333,6.31111,61.8,14595.73333,25.55556,17.68889,28.88889,37.77778,1.0,6.18519,10.44444,64.78889,46.73333,221.i_1
879.14444,300.17778,209.61111,103.53333,2065.63333,10.88889,1.44444,3.05926,52.57778,14364.4,30.11111,20.57778,21.66667,31.33333,1.0,2.74815,3.77778,42.56667,38.06667,221.i_2
913.25556,325.4,210.72222,96.06667,1914.52222,5.0,1.11111,2.02963,55.8,14170.06667,27.44444,27.46667,26.55556,36.11111,1.0,5.48889,7.44444,57.67778,80.17778,221.i_3
886.58889,312.28889,180.94444,95.64444,2055.18889,12.77778,1.0,1.0,59.91111,14017.73333,36.77778,24.46667,17.22222,35.44444,1.0,5.18519,7.66667,48.12222,34.28889,221.i_4
