Na_a,Mg_a,Al_a,S_a,K_a,Ti_a,V_a,Cr_a,Mn_a,Fe_a,Co_a,Cu_a,Zn_a,Sr_a,Cd_a,Sn_a,Ba_a,Hg_a,Pb_a,name_a,Na_i,Mg_i,Al_i,S_i,K_i,Ti_i,V_i,Cr_i,Mn_i,Fe_i,Co_i,Cu_i,Zn_i,Sr_i,Cd_i,Sn_i,Ba_i,Hg_i,Pb_i,name_i
106097.73631,8566.00956,14333.75556,1333.95299,124760.88238,21.16667,3.04756,1.0,2276.58198,155861.49074,113.41186,786.44444,5347.76137,369.16667,168.04904,23.98076,28.88889,267.54022,6250.04593,102vB.a_4,2631.23631,146.54447,335.57676,1.0,2639.38018,1.82453,1.0,1.0,41.13979,3629.09342,1.51564,72.38889,80.16667,3.0,1.0,1.0,1.0,2.2427,9.69024,102vB.i_4
107227.95853,6801.06512,16146.81111,550.43352,110137.9935,7.0,1.74826,1.0,1960.3042,154329.76852,127.74519,871.05556,3120.09471,351.61111,148.77126,23.14742,31.88889,254.15133,5796.60149,102vB.a_5,2658.34742,89.10682,302.9101,1.0,2447.4913,1.0,1.0,2.77581,32.58424,3487.48231,1.10313,70.5,89.22222,3.72222,4.17174,1.0,1.0,1.03802,15.43399,102vB.i_5
101470.6252,7298.95401,14189.81111,1298.20157,121405.88238,13.05556,1.34235,1.0,1991.52642,152463.37963,110.07852,746.66667,4134.03915,357.94444,128.10459,22.59187,31.88889,236.70688,5625.49038,102vB.a_6,2674.40298,44.7315,306.85454,1.0,2708.4913,1.0,1.0,1.0,24.58424,3377.59342,1.94412,74.16667,51.38889,2.66667,1.0,1.0,1.0,1.0,9.8444,102vB.i_6
103902.45853,7597.28734,14331.42222,700.6821,114699.93794,27.38889,1.492,1.0,2081.69309,150341.93519,102.52297,826.11111,4299.92804,334.22222,141.93793,38.53631,43.5,286.92911,6218.7126,102vB.a_7,2947.68076,58.8494,339.57676,1.0,2979.38018,1.0,1.0,1.44395,27.13979,3246.31564,1.53161,72.0,54.27778,3.0,1.0,1.0,1.0,2.20469,6.00205,102vB.i_7
103383.45853,7057.45401,16104.97778,431.61681,117993.88238,31.27778,1.85937,1.0,1953.35975,148693.37963,114.52297,709.11111,4195.53915,395.27778,150.60459,26.70298,47.88889,212.37355,5277.76816,102vB.a_8,2590.6252,67.76669,270.52121,1.0,2421.4913,8.40923,1.0,1.88791,21.80646,3152.09342,1.41251,67.11111,48.22222,2.38889,1.0,1.0,1.0,1.09505,13.6437,102vB.i_8
97925.40298,6053.00956,15498.14444,689.67237,95903.27127,17.22222,1.15416,1.0,1809.35975,147818.37963,101.96741,718.72222,2911.59471,347.77778,120.11149,24.14742,20.16667,151.65133,7306.65705,102vB.a_9,2706.45853,78.00249,303.9101,1.0,2702.32463,1.0,1.0,1.0,27.69535,3083.8712,1.63473,75.16667,46.77778,2.5,1.0,1.0,1.0,1.0,11.26732,102vB.i_9
96691.81669,7628.28808,18518.20334,9548.44983,287785.29745,19.11111,3.87227,1.0,2833.20759,189949.72446,91.07852,1628.61001,2743.05261,926.55556,222.56626,33.3242,38.72222,197.13096,387.74001,102vC.a_0,7130.99514,322.4249,542.47778,1.0,8291.87303,9.0,1.0,1.0,62.08775,6890.18258,6.19762,53.11111,115.85057,8.55556,1.0,1.0,1.0,1.34482,17.32371,102vC.i_0
97963.37225,7528.17697,16823.14778,4923.2276,252534.29745,84.66667,4.33268,1.0,2481.70759,178003.6689,79.96741,1539.22112,2460.99705,907.72222,197.23293,53.93531,53.5,1941.90873,376.51779,102vC.a_1,7250.71736,380.81379,583.2,1.0,8533.42858,21.16667,1.0,1.0,63.53219,6591.12703,5.65004,63.44444,139.29501,7.77778,1.0,1.0,4.77778,3.78926,17.10149,102vC.i_1
94775.26113,7302.78808,18694.09223,4855.44983,289682.96411,102.88889,3.34066,1.0,2588.76314,171796.05779,74.52297,1741.38779,2769.71927,860.72222,224.95515,49.8242,54.38889,288.0754,354.68445,102vC.a_2,6700.38403,311.09156,553.31111,12.62353,8076.87303,66.5,1.11111,1.0,62.30997,6318.57147,5.53095,62.88889,120.29501,9.88889,1.31767,1.28801,2.88889,9.69061,12.7126,102vC.i_2
89783.81669,7250.84364,17177.31445,5868.06094,286530.353,74.33333,6.00733,1.0,2561.54092,168428.33557,80.96741,1507.11001,2283.71927,912.11111,197.28848,55.65754,77.05556,377.68651,619.46223,102vC.a_3,6705.88403,285.98045,511.92222,1.0,8019.37303,66.55556,1.0,1.0,62.6433,6145.40481,6.74519,69.77778,120.96168,8.55556,1.0,1.0,1.94444,11.78255,14.99038,102vC.i_3
