,name,S,Cu,Zn
0,APP0A,0.12173467291748964,0.07388034463443627,0.5610462476288625
1,APP0B,0.19043483965273428,0.08870377693640952,0.5081008196574059
2,APP0C,0.1256503170852179,0.07819882265145546,0.5684361018329718
3,APP10A,0.13491433298163935,0.0892233845209132,0.5278062631417134
4,APP10B,0.15869285524907537,0.12048989566748304,0.5026683764859169
5,APP10C,0.179189216585197,0.09428629745680242,0.5115778845556171
6,APP11A,0.19091595726836644,0.0956343888762906,0.5192124155573934
7,APP11B,0.21409227031269584,0.10836173289387777,0.5276706692067198
8,APP11C,0.22324655953337216,0.10017981001375306,0.5092407574283722
9,APP12A,0.12004563944606583,0.06672735584452454,0.5828864746678837
10,APP12B,0.1524928735190294,0.09732107113337339,0.5375568448417989
11,APP12C,0.16323638997056972,0.0801237629339136,0.5616762066401316
12,APP13A,0.11340370101086364,0.09805082318405918,0.5871398566698267
13,APP13B,0.13333151377588665,0.08538183496072373,0.5430257421218525
14,APP13C,0.11790392451181934,0.09469962412542758,0.5615709246867021
15,APP14A,0.18236084064896207,0.09335504721473638,0.5681844331040489
16,APP14B,0.18605249243412467,0.14003281341403098,0.5052255701479298
17,APP14C,0.196038677107371,0.1377354376077388,0.5074766028578258
18,APP14D,0.19669664058147368,0.12803325927274242,0.5209875408275275
19,APP15A1,0.13224436922359517,0.12098087855162858,0.41075404602233995
20,APP15B1,0.18289810895941483,0.11294760653616442,0.0
21,APP15C1,0.16587540224044614,0.12033065802404243,0.0
22,APP15C2,0.10019385254935864,0.0709910467241742,0.21378075274887007
23,APP16A,0.20812053542322592,0.10025110364147442,0.0
24,APP16B,0.13961790471130658,0.0292250928673537,0.19286153799021316
25,APP16C,0.20500326120939708,0.11057072362060932,0.0
26,APP1A,0.18882729386580283,0.10338537381244092,0.4906763319748814
27,APP1B,0.1808132203123866,0.09145452354383009,0.5259888597065067
28,APP1C,0.1818015474869851,0.118800172475659,0.5248029993245802
29,APP2A,0.1909107734265861,0.07716651691462438,0.546288079929666
30,APP2B,0.18576844803089446,0.08468594940097504,0.537098010722879
31,APP2C,0.21197135003414633,0.11874088705975182,0.44126808623631264
32,APP3A,0.19062327915127794,0.1264928213818906,0.5635372733590509
