inds,C_a,Na_a,Mg_a,Al_a,Si_a,P_a,S_a,Cl_a,K_a,Ca_a,Ti_a,V_a,Cr_a,Mn_a,Fe_a,Co_a,Ni_a,Cu_a,Zn_a,As_a,Rb_a,Sr_a,Zr_a,Cd_a,Sn_a,Ba_a,La_a,Hg_a,Pb_a,C_i,Na_i,Mg_i,Al_i,Si_i,P_i,S_i,Cl_i,K_i,Ca_i,Ti_i,V_i,Cr_i,Mn_i,Fe_i,Co_i,Ni_i,Cu_i,Zn_i,As_i,Rb_i,Sr_i,Zr_i,Cd_i,Sn_i,Ba_i,La_i,Hg_i,Pb_i
108.1,0.030877373214506704,0.21576861738151443,0.09518649109320186,0.038024274381770154,0.03929485396198799,0.0011779256354800703,0.00010745883758962819,9.848509595582254e-05,0.6798612175073183,1.4760237400259775,0.0027103044607423147,0.00010891734489582266,0.00010419661686442483,0.013888185605102868,498486.5828973707,0.0006126977511863375,9.167326596515843e-05,0.2190799016227841,0.009694549702698717,0.0003911120386097279,0.001094199101757071,0.030723221032140195,0.00011868264902199804,2.373096145294109e-05,0.03187706550073371,0.005437624550267159,6.363289995532726e-05,0.004363273514255347,0.21165440326799095,0.39666205943863786,0.20471166160365464,0.031233264470721094,0.022408126916008346,0.22089754262877412,0.0011613081304816485,5.553977962496679e-05,4.666838145148521e-05,0.5134646701920114,0.11727597193425826,0.009876601004010447,3.394289706228346e-05,0.0002369799764630183,0.0036307366851167514,15191.311599199133,4.42357063910887e-05,6.324506647175656e-07,0.21125382506500384,0.0012571452567901383,0.0001884451706008741,0.0005884684154822008,0.011609800454003205,7.511086415526954e-05,7.826352482075363e-06,0.023196441110310054,0.003136725725411023,1.9646419510939805e-05,0.00418273469288178,0.1514066033170948
108.2,0.036017761430698514,0.2371095717219746,0.1119984673825529,0.04100616128987131,0.047400348140193074,0.0014502282966650808,0.0001263221226846043,0.00010582576741533142,0.7453215877659526,1.7283594811758451,0.0031848529354525645,0.00011906930388517676,0.000145612469866397,0.016420297737876625,410992.74551767233,0.0007127949870836005,8.552563547623502e-05,0.21080928211844252,0.009973463868781167,0.0004243631610762005,0.0012091670981536815,0.03409555197297712,0.00012550072404576056,1.5520050015091675e-05,0.04201218755545317,0.006669038617785563,7.316070695748344e-05,0.005820602859612936,0.2914743194275425,0.419604496319011,0.2077233235760266,0.030132290204584657,0.02267604819430287,0.24670901722422117,0.0010682927888016577,9.232754444074242e-05,4.1628905174394825e-05,0.5270683744462975,0.08209155745565615,0.009880245553441927,2.2180689227889497e-05,5.24314884224863e-05,0.003529673497161297,13354.24177892958,4.1318745184106444e-05,7.783919077113541e-06,0.21772068316712945,0.001329424083090367,0.0002122820771234574,0.0005154704790159282,0.011440922230281132,1.9022698423781464e-05,8.902980881173049e-06,0.02291395990821305,0.0037849488734277878,5.424811077837529e-06,0.00403073071143391,0.16460798134144175
108.3,0.040091129826475794,0.23298085737058188,0.10648215925377863,0.04208095552019204,0.05024463093865988,0.0015683159535107706,0.0001276672068985643,0.00011305868698128074,0.770241824809832,1.6472108758999098,0.0036273086642709625,0.0001129062151805088,0.00014785061219299312,0.015416981369567146,372439.0393986545,0.0006408685392351296,7.876897576576234e-05,0.203836711650826,0.010814083359816986,0.0005488044781718517,0.001224381466232415,0.033854058946731685,0.00014793118906435414,1.3854396631741561e-05,0.04576576156162974,0.007241233085677986,7.448399769572095e-05,0.00615814386872683,0.2912538009703727,0.47365504718457313,0.224718703291077,0.03087634504717074,0.024454271589984564,0.25926880616753595,0.001239904174242235,6.575215453957317e-05,3.584457705950165e-05,0.5567346872034137,0.07388031190899048,0.011322027893656996,2.149779920444337e-05,4.98557168958844e-05,0.003836983802549731,12036.908436820759,3.344810292764313e-05,1.1684261751518669e-05,0.21904870673309626,0.0011969870487050212,0.00019101091843852933,0.0006652145244523086,0.011653722253837547,3.057706818912114e-05,9.877333525000612e-06,0.022868736318244626,0.0030046283039732308,1.2365901084967727e-05,0.004163473840957059,0.1547374760613547
108.4,0.04461623142393215,0.2339759006590751,0.1015711753567392,0.03684401846656845,0.045974162528024484,0.0014022179273212195,0.00011539151020449776,0.00010336299228951827,0.7603263308061645,1.6592842345033771,0.0023605742248258028,9.864721489636765e-05,0.00011317621831308696,0.015203725278325522,334360.4224573688,0.0006687053431246747,8.691892057596048e-05,0.2145210002228164,0.011433067698007022,0.00047421488757989243,0.0012024584893756945,0.033681648282470104,0.0001326072767375129,1.9560349676717082e-05,0.03716349778487761,0.006451636788036021,6.894442566927225e-05,0.006066217016338757,0.2576562452681118,0.4553051904014866,0.21742902632422736,0.031873877289099,0.024231164829179273,0.24821777912388976,0.0012579041063726123,6.216108021419168e-05,1.0005394824280168e-05,0.542058406096703,0.18162938511047297,0.012408319363196864,1.5118234771690368e-05,4.972589473639835e-05,0.004260628441698861,10726.657667839036,3.7355831350036186e-05,8.956895443444044e-07,0.22445595623404274,0.0017371887441238693,0.00019298700973840863,0.0006087958454640214,0.011879493096555185,0.00011066484831575645,0.0,0.02231315319377854,0.002348924217343609,1.075279863469225e-05,0.004833335364979399,0.14853311618473075
108.5,0.04260048141059341,0.23357620857427067,0.10287173281415458,0.03789867104629523,0.04841319577152927,0.0014189264310962902,0.00012264074418298938,9.221343494103666e-05,0.7648513222309434,1.6434278186890339,0.00224752669459358,0.00011047061923325253,0.000115825863811388,0.015317544138817765,288058.301386166,0.0005866849012563944,7.734391809893553e-05,0.1940208344173768,0.01036940479920076,0.0004508604930047605,0.0011721404739552894,0.03255469213247188,0.00016652227085887895,9.83263188913796e-06,0.03655868191721306,0.00665497175359998,6.82106374636353e-05,0.006409264886184968,0.2644158634303517,0.4503901945474927,0.2320243369155468,0.03597852855677907,0.026897867882913738,0.27695979565384765,0.0012283512505216756,4.2735474340469616e-05,1.5274978144198643e-05,0.5792832939717615,0.1641651656790571,0.011851955673343757,1.3218836130396365e-05,0.00017118722088659252,0.004401622217799131,9347.204683651595,5.816012273688877e-05,1.0278746902428774e-06,0.24222224561477151,0.0013952198184188388,0.00015612706800385184,0.0006579210634204594,0.012194875340791883,6.162863390212032e-05,0.0,0.022536307309619644,0.002359737511143976,2.529133357944149e-05,0.0053525411138660795,0.1423806480631479
108.6,0.03843965513042373,0.23035335200254053,0.1144757976400121,0.035745731656961086,0.05177046872718493,0.0015005341466435122,0.000126772516768613,0.00010562494016216403,0.7427421928487888,1.6592415180255602,0.0020957954511286263,9.147793623863445e-05,0.00010819018194738306,0.015021143448769179,249399.50006845352,0.0005926947402140444,8.108678970206714e-05,0.18594403956957783,0.009463533767618488,0.00043393209894660416,0.0011644318012788834,0.03439918297094877,0.00016290720050203428,6.353468099211329e-06,0.04176543473082433,0.007043426987390432,6.68091194381938e-05,0.00637973730989669,0.31456864066657536,0.4563934000684941,0.22800305330105095,0.03778115518947144,0.024820927262937886,0.2925462927117511,0.001024891406873813,2.6550967659231604e-05,6.387113684931529e-05,0.5689048272993107,0.169918757280747,0.010640859405366514,3.173597754625479e-06,0.00011715153234645719,0.004414282141250469,8536.544344188918,3.649120360574973e-05,3.7910075038641175e-05,0.23836384523264376,0.0015204448173087041,9.553615852742337e-05,0.0005727424886017163,0.011473636469540532,9.973677839752814e-05,0.0,0.019183233318920547,0.0025403087276875845,8.788062898163182e-06,0.005331171004510205,0.1422657875100488
108.7,0.03720980804440047,0.22767613118686722,0.1056906156371536,0.035868969425114076,0.0592644012474636,0.001489488818284076,0.0001126061393590312,9.820684314682826e-05,0.7312383265731079,1.775571103805003,0.0022790640369652437,8.516418096859364e-05,0.00012264377645334793,0.0153338214251946,212455.82283283208,0.0005976405409203073,8.913988085436868e-05,0.19234217549305344,0.008738610151594602,0.00042719104574165574,0.0011843592998075202,0.036459183978509904,0.00019665381781696134,1.2142557767374618e-05,0.04042106787192105,0.0070585804539329946,7.45048100660442e-05,0.006903643765951239,0.29808164109023405,0.4337007054803069,0.2330380596752668,0.032202939691952696,0.024585513003205214,0.3081726150783451,0.0008757408952225775,3.840468232730483e-05,3.829303550459285e-05,0.5893144361798914,0.08202636430897602,0.008482276469081429,1.3041121672899372e-05,0.00012465515388569823,0.004161051809349453,7755.982089606573,4.618399232156492e-05,0.0,0.23923433659285132,0.0015853725308755105,9.723933886870238e-05,0.0004706527022271381,0.010379917414805505,7.234927089611878e-05,0.0,0.019942782169495864,0.001371936448916129,7.626055407073589e-06,0.005551004534933232,0.13002492922201359
108.8,0.03949119439776759,0.23210528268969888,0.11132189841806499,0.04015763908383691,0.06022526783514483,0.0014350233812966714,0.00010744236225957678,9.22758343741524e-05,0.7477539161473837,1.7623057750731403,0.0022642944497692236,0.00011823375834598523,0.00011124702749047673,0.015272914976667152,171476.1514730604,0.0005734941375722532,4.971264874811637e-05,0.19561486678074386,0.009331042179464353,0.00045822556566627493,0.00116393009266177,0.03520156946221681,0.00020584732532227413,7.728997849600508e-06,0.03922090940603397,0.006732069090586618,6.70078338500412e-05,0.008143228480782451,0.2815908325650332,0.39354605618758853,0.22820219317659515,0.030454156186804183,0.025635431333142274,0.3659753914769583,0.000807342938952521,5.9006980716299725e-05,1.6856345049690957e-05,0.5712234001331491,0.08796288185209553,0.007945239601095904,1.8889249168118465e-05,0.00020005268509467718,0.003885404508074428,6665.092797173299,4.8991830352002284e-05,0.0,0.22313304516485452,0.001443283209787768,0.00011076474940412153,0.00037481594968643265,0.010780270941865167,8.652473773445835e-05,2.7020014540807583e-05,0.019686852152407418,0.001973143536664256,1.0926555427470705e-05,0.005307920038967544,0.11759845773799148
108.9,0.04182629901224611,0.24161684472383002,0.11006322986004578,0.04262307625055853,0.0722344350285366,0.0014794975380775898,0.00011633943062924508,9.602263601651259e-05,0.7487809523840289,1.74045306983444,0.0021764723849531232,0.00010192818189216193,0.0001231286628255154,0.014159922477993026,138986.17839737918,0.0005860049394935208,4.717970172287648e-05,0.18757997897683257,0.009349802920055387,0.00044734673884989196,0.001127994019817337,0.03399782071461995,0.00027555620134684056,3.484739056219e-06,0.04039035610865931,0.00608395764461584,9.054887913367829e-05,0.008154787766281332,0.23134486806242613,0.265860103471131,0.22866467370409554,0.028924992366792357,0.024739427593306825,0.3726874980400403,0.0007977351221779601,1.20248984515583e-05,5.8014988366772686e-05,0.5936922850918998,0.024602826095238506,0.00941358413245543,2.231967279120237e-05,4.735135930637766e-05,0.0035443626699131103,4928.987491803098,4.160190324509784e-05,1.9492350375858824e-06,0.23016102942911823,0.0012882087993329881,0.0001476338671379149,0.0006401913824819506,0.010321612072644476,2.5509669533318414e-05,0.0,0.019495302599883114,0.0018956380682252714,8.779776728079714e-06,0.0043851499052589464,0.13522689170442184
108.10,0.040794091337046014,0.23878267668296743,0.11223687916483904,0.04089609781569234,0.08651686620023617,0.0013220217187159917,0.00012028745585350876,0.00011203415232076224,0.7638382648583459,1.8278373629737754,0.0022062161241800517,0.00010049480795025008,8.044458840926424e-05,0.014129189533736104,110872.13775909929,0.000523131266816388,5.0660935233701456e-05,0.194764615195863,0.008642583599640305,0.0004482166904929217,0.0011730447829926519,0.03210884916364269,0.0003543552921252481,3.217018133952636e-06,0.03766935816982654,0.005363789322731683,7.771500233746766e-05,0.008168574572774194,0.21557866623464036,0.539228345447616,0.22223815928903484,0.03153812494163481,0.028231391555070255,0.6379756446645327,0.00046628626093197807,4.740353050623319e-05,0.00010374152445265664,0.541229897946442,0.26457795156690106,0.03747205408532362,2.5744871115238936e-05,0.00017187946358494625,0.003548089064943463,3930.163521464051,1.6388399961361925e-05,4.0453638568043915e-05,0.2250205736201706,0.0011255483198387814,8.234581387955716e-05,0.00020867655084456498,0.010172264796425563,8.540580512682767e-05,0.0,0.01739560089209,0.0023540385806138596,1.4794937727845926e-05,0.0060505076611857235,0.12146973030230844
