S,K,Mn,Cu,Zn,NAZWA,OPIS,short
0.15680603003821833,0.6980507491107293,0.12833447444862314,0.11731935965846156,0.5317225157792902,APP0A,podpis - Małachowski,APP
0.23680159730670267,0.9026543511023105,0.15507556558787436,0.1550125053782148,0.4966411912090421,APP0B,podpis - Małachowski,APP
0.16068920670082323,0.7246448342479894,0.13063058136556158,0.1259731858403432,0.5370079732825755,APP0C,podpis - Małachowski,APP
0.1792121265802117,0.8151952040531808,0.15818263500060292,0.1480218154644817,0.513712757023313,APP10A,podpis - Radzicki,APP
0.20726083103455184,0.8930336900040666,0.17671997459857372,0.19605093387663494,0.5107774839336973,APP10B,podpis - Radzicki,APP
0.23778471885321864,0.9402074941997202,0.18530201015580752,0.17902099553609438,0.4974080423842093,APP10C,podpis - Radzicki,APP
0.24799877985115878,0.909926446875577,0.17119122010987142,0.16908208803459587,0.5092265047744631,APP11A,podpis - Zabiełło,APP
0.2603801179266842,0.884228670270554,0.156447732158417,0.15832909139199133,0.4970652790197028,APP11B,podpis - Zabiełło,APP
0.26850459007980243,0.9424443982228569,0.1888395974110922,0.19160697978754607,0.4999920158963452,APP11C,podpis - Zabiełło,APP
0.15993386926426556,0.6805994165453851,0.1285768001928362,0.12031262151273497,0.540609913765329,APP12A,podpis - Puttkamer,APP
0.1979725518772405,0.823552450231964,0.15876685829762333,0.156286126136723,0.5007231298809994,APP12B,podpis - Puttkamer,APP
0.20561913272482876,0.7302688202542419,0.1313342763074796,0.11782339386663591,0.5213125870560501,APP12C,podpis - Puttkamer,APP
0.15402650185359876,0.7979781299804075,0.15237154443738068,0.1597033906650445,0.548926282530473,APP13A,podpis - Sapieha,APP
0.17394703113880264,0.7770795135873895,0.14220028637100215,0.13933735347611037,0.5192883115851297,APP13B,podpis - Sapieha,APP
0.17394703113880264,0.7770795135873895,0.14220028637100215,0.13933735347611037,0.5192883115851297,APP13C,podpis - Sapieha,APP
0.2425774186122622,0.9969634314473219,0.16868558213249538,0.1694266177418913,0.5131495158017044,APP14A,treść,APP
0.2469262015559741,1.0024088025381728,0.20567862747956325,0.23766459348789115,0.5217190677409521,APP14B,treść,APP
0.2597103107788988,1.0721268497801775,0.1987290466605809,0.22153349855482687,0.524137141204449,APP14C,treść,APP
0.14481175818372358,0.8635859188526465,0.12749707533309593,0.13678814274363746,0.2387965441285079,APP15C2,poprawka ,APP
0.2638098701479343,1.2290305135572523,0.16971315214982027,0.19544809287808226,0.2413127973332577,APP16A,oblatowanie,APP
0.18685815345011034,0.7790936227946669,0.06828651075905263,0.07008490263023197,0.20946900270425842,APP16B,oblatowanie,APP
0.24679070150522744,1.1334880802646217,0.17335180024492433,0.19006972725151525,0.24148643004704565,APP16C,oblatowanie,APP
0.25754520313307044,1.0081887393603275,0.19286687646014242,0.21956020592983908,0.5010875845940309,APP1A,podpis - Kossakowski,APP
0.23664039118006672,0.8102402901930953,0.15018883843465247,0.14458830458648655,0.504672309661955,APP1B,podpis - Kossakowski,APP
0.22716678920979957,0.9354321038399348,0.19893507841204985,0.19741243789895993,0.495626471600276,APP1C,podpis - Kossakowski,APP
