,Al,Cu,S,Zn,Pb,short,probka,OPIS
0,0.018333208343300083,0.05812727158010338,0.004564652643705222,0.3047159995441428,0.003837323419751099,APP,APP0,podpis - Małachowski
1,0.02750806258291941,0.17343451349797287,0.0053185508358354425,0.3197259864532951,0.008954527891007587,APP,APP1,podpis - Kossakowski
2,0.037592918003056766,0.0641854116912569,0.0039771228185881006,0.3562281838219249,0.009504352181570516,APP,APP10,podpis - Radzicki
3,0.018995261092264886,0.04661257026451484,0.005207049097868443,0.4448858720582796,0.0034354656628838138,APP,APP11,podpis - Zabiełło
4,0.012018271157715279,0.023959365456475944,0.0038168567155342924,0.2670270519355054,0.0027223867494237494,APP,APP12,podpis - Puttkamer
5,0.027355545290873955,0.06074518097847264,0.0033493163563109926,0.2546132771022899,0.007012051736358985,APP,APP13,podpis - Sapieha
6,0.024852508262620972,0.04946919381237043,0.004872405098886858,0.2888162838641186,0.004756685364691586,APP,APP14,treść
7,0.028096145261217603,0.028099465059419286,0.0015988313796865788,0.11951812803762792,0.010007662965559412,APP,APP15,poprawka
8,0.06440607195259869,0.056962935958246495,0.0033171919835140065,0.2403858123332596,0.01195902223708202,APP,APP15,poprawka
9,0.07651782782672505,0.05652851130971432,0.003984496078594565,0.05220760968869094,0.02404294001641812,APP,APP15,poprawka
10,0.045926816968667884,0.01835744574525611,0.0006515922704189142,0.027513050340120283,0.012071073854788198,APP,APP16,oblatowanie
11,0.03495282837101805,0.07565211904817715,0.004769183660414392,0.32082125161291886,0.012097725462912065,APP,APP2,podpis - Jabłonowski
12,0.020932072069528147,0.05402523256310663,0.004393661029049236,0.38234523021473193,0.00723979612778967,APP,APP3,podpis - Szydłowski
13,0.016055437584872177,0.12481399900540281,0.004593259307367707,0.35855849713641,0.0030341905726967286,APP,APP4,podpis - Kwilecki
14,0.01578297979699304,0.05434177131497744,0.004653542402691342,0.3612403799776421,0.0033395182016258225,APP,APP5,podpis - Plater
15,0.04524014381608097,0.021685543713105545,0.0003238920094591928,0.023513083929472232,0.03633035389319093,APP,APP6,podpis - Stroynowski
16,0.032740912669809774,0.040345198311018966,0.005920189753681664,0.31058978770593987,0.16234765025429002,APP,APP7,podpis - Potocki
17,0.0730473520173974,0.09385773114658873,0.003726545246334264,0.3455342219473913,0.023593512787386473,APP,APP8,podpis - Zboiński
18,0.03084374510146167,0.07205983487273991,0.004438823551491236,0.34537292296697497,0.006340193440484272,APP,APP9,podpis - Nowowiejski
19,0.009797294198216585,0.03897812910099186,0.006770430026382315,0.36662301118251805,0.000658499584688969,APP,APP0,podpis - Małachowski
20,0.041458679511203224,0.07679523666884622,0.005172978204079279,0.2570040120482236,0.004678072412712336,APP,APP0,podpis - Małachowski
21,0.045514005730233495,0.06086396592047325,0.006025774489987922,0.2303433089906815,0.004486803601392192,APP,APP0,podpis - Małachowski
22,0.09948364038305128,0.11349951074090882,0.006858283022104007,0.22411929979305528,0.009780029000438936,APP,APP0,podpis - Małachowski
23,0.03582114184329406,0.059217498349259066,0.004856004140493743,0.3052926908208037,0.010029033188494407,APP,APP10,podpis - Radzicki
24,0.09385373348369755,0.09915441382321045,0.0038137006078198354,0.1766220496011701,0.002312223151578022,APP,APP10,podpis - Radzicki
25,0.044974642842615244,0.024153439226322907,0.010098474628505686,0.3236826127209905,0.004131335821997521,APP,APP11,podpis - Zabiełło
26,0.020751138063631124,0.09480197136196568,0.012852709774178636,0.3387992158949545,0.0018175173870132288,APP,APP11,podpis - Zabiełło
27,0.0687434930179883,0.07134113823787891,0.0061511757024447795,0.23952958748142583,0.0089719879922414,APP,APP12,podpis - Puttkamer
28,0.1315707244165784,0.10294146296856557,0.011814628427591806,0.33521912664066467,0.016217603057326578,APP,APP12,podpis - Puttkamer
