C,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Rb,Sr,Zr,Cd,Sn,Ba,La,Hg,Pb,name
8973.676717536066,2844.5005565071724,1300.695435185543,128.8021935742416,118.35683124807582,1.1294905364672312,45.653762664815034,0.6876711047345601,30708.00779393656,332.72418831228015,328.44326993025203,0.014035185965600001,2.409124190642159,1799.7812531614431,9786.395761723386,56.69023451090656,13.632192619651331,502.33689314263563,2870.9165900985176,10.163716008873594,39.359021666230035,6.352340274890376,0.04060065133553871,2.7135688648885625,2.2318697066761755,1.1858201143353382,0.0,53.95613604765684,22.130475990349055,APP.0_0
8150.164010696131,2517.8341991982375,1178.4096011227155,116.25779236156106,137.0253983427039,0.9936442536915943,36.722881710844355,1.0009220694546492,26370.322026149817,711.1288056677535,156.43576497050393,0.05614074386240002,1.0583789391824219,1581.4395961928908,8200.400825550832,57.34890298245381,11.139077350257566,464.26312936440866,2601.675466092148,7.043485281321249,41.05667054686738,10.5951145655567,0.16240260534215484,0.8580807461740768,2.6528446579806095,2.999427348024679,0.016737402941244286,42.84736976865642,23.784548709018324,APP.0_1
8455.770199031964,2502.2491682823893,1120.3798600572648,122.69756898214594,112.67970766295178,0.4044546366278351,35.889411028486045,1.8179172015212262,25495.296812042834,207.4121352331567,281.7136476773503,0.11228148772479998,0.5321125285543651,1428.3963920962246,7536.695011048289,50.18748565725997,10.304217568401224,432.9607606900413,2282.392423754734,8.299203727071863,36.50594302574533,11.589055262717675,0.4384013303504316,1.8007947670344622,3.1591086228480423,0.0,0.02391057563034898,42.819414660342126,21.01709925933192,APP.0_2
7630.818188802859,2350.055430994671,992.433595471612,115.07450122251555,113.20182697489402,0.4061200502141191,30.66979127041045,1.1592973578929668,21910.966455476548,357.41570188247545,310.8172687062617,0.0280703719312,0.0,1320.9253029221804,7069.111709547832,45.96942655833665,6.36444367683519,401.7134358004356,2029.8193360569267,6.431417330386655,31.897741772865928,13.651280989636334,0.4717679714418301,0.6158897278947617,2.8481942163484146,0.4882788706086687,0.009564230252139594,42.2611457268145,19.378963806605242,APP.0_3
6504.962033842303,2014.4902700685795,871.7029321353507,106.34145058337991,109.66868472286835,0.4269560028650884,28.02079848569444,1.7906430540660898,18158.814892794435,412.9695202828477,282.7260175086588,0.0210527789484,0.5145691401119485,1113.528550586822,6571.2604733924345,43.902104761159286,8.224730845348072,367.568736421666,1819.7394436146546,7.5078242381463,26.019101701167397,11.632974602422118,0.53169689758189,1.688814816508142,2.3997083420052125,0.4185247462360018,0.009564230252139594,30.175830468972684,22.273592288461714,APP.0_4
6802.920461060445,2103.6243017111747,833.7483019718921,104.7992793324113,107.80524330141544,0.44695849031483736,28.485564070290977,1.2752246864281545,19255.806848364016,167.90389171424758,161.01716820707506,0.0,0.02338950636872493,1114.2925979232755,6033.198115916655,41.60139000372942,12.66459197735721,329.154858379131,1784.2334432736811,6.460098569863605,28.767846017210832,10.057567699031885,0.3023459561893424,1.306000548279358,2.131444461138236,0.5580329949813356,0.0,32.017930225471176,21.891889519685456,APP.0_5
6369.279451478353,1928.1171104368782,816.7872329114826,103.44032815249027,130.97091502600992,0.8578071179829354,25.95929791671162,1.2373796311650762,17149.907747022735,361.73579329698794,427.24593344376734,0.014035185965600001,1.005748773855172,1077.4082872023323,5640.022546536968,38.20870570259844,12.614402616298696,333.9708619098217,1731.2176600457167,6.234762739936173,26.781324205186667,12.275300261533706,0.5336409993083863,0.6158897278947617,1.8370429643971649,0.9765577412173374,0.016737402941244286,32.71569019272876,19.410755502196764,APP.0_6
6066.789770584757,1808.994160304011,741.6507257944328,98.29421256651206,90.25031750433754,0.5811265954128205,22.3978077210196,0.8275546960472289,15888.978411175256,203.09143883500602,418.27562576381143,0.0280703719312,0.5145691401119485,1028.1257475645948,5262.038168759437,37.550173810311975,9.670822179385246,309.4642333638483,1582.1830918436121,5.261386588140074,24.113484231690574,9.482841566084167,0.486993215692657,0.8958396042105624,2.267648881558249,0.9068036168446705,0.009564230252139594,29.701392063711644,18.758736025680335,APP.0_7
6200.18187383332,1731.814109753084,693.635479493632,84.71105081697714,93.98395092987232,0.3236171952946193,19.02072662608394,0.7666227375651236,14416.669777040705,154.94067899222753,364.0645272140967,0.03508796491400001,0.09355802547489976,918.0685489865872,4847.7018925223665,34.266032991176594,7.0029408838254685,265.1586456606656,1434.0672746544517,4.563343174199194,21.89598579265167,11.051527328002846,0.19285309384380886,1.2877694310526837,2.789052449039783,0.5580329949813356,0.0,24.17514476633452,15.116578258753906,APP.0_8
5738.553524867124,1542.0148060536571,642.6691118491817,78.19021947391285,101.87262425846647,0.45278940965823433,19.098906733301195,0.7461439131928858,13395.327633968205,278.3980048846362,198.89458598848884,0.0280703719312,0.11110141391731633,839.5644216678046,4363.2536344565815,33.8409842937519,7.460408095516968,247.01125011806744,1359.1070722382726,4.339331822022093,19.516954687818327,10.44298249979045,0.34899396657196585,3.0403931578541865,2.040647773851769,1.0552187252363299,0.0023910575630348985,26.227694341901053,17.581877669438974,APP.0_9
