C_i,Na_i,Mg_i,Al_i,Si_i,P_i,S_i,Cl_i,K_i,Ca_i,Ti_i,V_i,Cr_i,Mn_i,Fe_i,Co_i,Ni_i,Cu_i,Zn_i,As_i,Rb_i,Sr_i,Zr_i,Cd_i,Sn_i,Ba_i,La_i,Hg_i,Pb_i,name,sample_i,C_a,Na_a,Mg_a,Al_a,Si_a,P_a,S_a,Cl_a,K_a,Ca_a,Ti_a,V_a,Cr_a,Mn_a,Fe_a,Co_a,Ni_a,Cu_a,Zn_a,As_a,Rb_a,Sr_a,Zr_a,Cd_a,Sn_a,Ba_a,La_a,Hg_a,Pb_a,sample_a
9445.30575065027,3133.467906672558,474.8743522687305,339.1008094240244,3344.1566943261614,17.640769685189944,0.755065365883783,0.8655451174142506,7773.564666270435,1824.3452889898565,148.3239019887525,0.4992520829105956,3.955165454092028,55.1381685089101,15161.632361863569,0.6725090243172227,0.0745460823322277,3196.1743478029834,19.29688662147332,2.806131617028516,8.957864543034983,176.33938959639443,1.1391938074200354,0.040798896703388,352.38704834309044,47.626561223927446,0.2764729814746398,63.40061378502386,2294.143843063805,108._0,108,18778.010886214008,107414.54932015514,47379.00675614699,18915.26395398722,19456.471349070216,586.8075902269179,53.64088645236864,48.87826802601444,338327.7451144673,734951.8891781635,1351.6644533560284,54.3185424177289,52.823955393800375,6913.724788781412,497728.5114652437,305.308822214348,47.06831075455058,109052.16366660486,4831.63268810693,194.63741599397213,544.946007223081,15300.53918614666,58.61720954832877,11.87511958485312,15859.764928601371,2709.338505548823,31.701414230138976,2151.4682226876707,105315.0192902631,108
9022.988701507917,2797.616753418714,402.793988178706,301.5134012659205,3283.045157809432,14.26521620470411,1.1841075771613248,0.7247410101156495,7011.96137258682,1127.4037811645007,130.18763027778476,0.2765269315163233,0.8888012256386579,47.11862947243005,13324.562541594016,0.5516728617500496,0.4100034528272527,2894.446308005376,17.95265193243964,2.779459770079757,6.902721256252309,152.75613493221277,0.2483552748252672,0.040798896703388,306.0012441708737,50.52070570462652,0.0489332710574583,53.68674019492152,2192.2937354726228,108._1,108,18189.093281471065,97307.1024156876,45960.37567643269,16813.908161931282,19349.713092739068,595.6607745630431,51.99157372195712,43.27839177321849,305747.8156043176,709517.0671471773,1309.565496120758,48.96132745300273,60.79561281016885,6739.273853356771,410234.6740855453,292.84078260929,36.52083339705839,86484.85776363932,4098.051031831604,174.08349300465022,496.4613414386447,13998.450233548823,51.03538852816792,6.415421340406931,17236.17978296405,2739.682115894366,30.049787188027643,2368.660468160256,119601.96983944088,108
9120.8312397366,2728.547722817416,372.0558376302894,293.0457991063319,3109.2281731175394,14.923589028145456,0.7027959311665921,0.5613038455163198,6674.727319673111,891.5964119612631,134.46525098609817,0.2382641072823014,0.68882094986996,46.16793889551363,12007.229199485197,0.4025041008849065,0.2702295484543257,2623.620890868089,14.60722480544177,2.2437745225173464,8.026130171248658,140.24608101269126,0.3617349800510041,0.040798896703388,275.2715685724056,36.142019109590514,0.1253362514175394,49.97474113137481,1856.6397849927512,108._2,108,18317.556504647146,86627.95526252825,39587.93117867765,15633.264001184412,18581.575953842017,583.7295524883801,47.62234960020192,41.89223785165817,286294.1752916386,612659.4950443959,1351.5653986325844,42.07538966632236,55.98198195053923,5732.536335557771,371680.9679665276,238.5716770101178,30.70705932915333,75760.52120658522,4026.616552587136,204.06952500538867,455.5098931199429,12593.99891210064,54.55085134037381,5.191455350801907,17014.43174770621,2695.6735188989587,27.72201592392356,2269.968105267254,108282.42490463272,108
8303.391717964894,2355.91599969318,342.30026966068533,258.6113811041279,2650.980436488328,13.492082740387811,0.572292044783603,0.1783241707747112,5787.83782437738,1971.916830934112,131.3442363641586,0.1400180394461423,0.5555007660241613,45.68481893462035,10696.978430503472,0.3975041825488774,0.1304556440813985,2394.613868747844,18.82623266928239,2.014103536756892,6.54934847346815,127.3985490093128,1.1877850124758664,-0.081597793406776,239.3482392436092,25.162257919881423,0.0916394886750052,51.70492158267011,1587.3428435484489,108._3,108,18303.956611029447,78089.06953436551,33891.1991748766,12279.854929775507,15240.454277101617,468.4736438456631,38.65645180016102,34.34526284505788,253649.0831286083,553972.836362618,789.8966391638224,33.00843178934823,38.758290138169016,5074.174610835931,333602.3510252418,223.47581490323327,30.432664663853544,71571.10438564922,3821.7950795692486,158.23200248417086,401.5569644739332,11247.23586702168,43.79412645902104,6.56648776284442,12395.47829369013,2155.9276263965207,23.033554664416176,2004.737802621027,85958.19006664549,108
7629.378142082953,2192.4082359997856,336.6987700706289,250.1118477439536,2577.233191873913,11.47757176461532,0.3133875989555481,0.211100198459418,5388.0423847775455,1562.0064601494294,109.00662976526756,0.1005854994201333,1.822042512559249,41.12538000053513,9317.52544631603,0.5416720917275083,0.0745460823322277,2251.052573412806,13.226211334613817,1.402753972356792,6.168726695049715,113.95928919710543,0.5722968686262715,-0.081597793406776,210.654160680586,22.01052630209996,0.2130834375780967,49.890685097642994,1324.9400143346863,108._4,108,15657.47693703624,67140.35443127902,29562.874688202683,10877.700156655455,13814.336810730256,408.3610028227761,35.401782150278606,26.347614510775543,219747.8226496066,472576.8846395521,648.032766073782,31.84668627176453,34.281243556971674,4402.996349884699,287300.22995403904,168.88666998139476,23.603673524036708,55733.0841209672,2986.022866923253,129.5474201144651,337.1472298923627,9363.075036063896,47.42362387472075,2.8463877636196955,10500.507288334498,1915.77548352222,19.629907735800007,1822.676874568361,75975.32352932377,108
7315.511304217727,1969.9874423765225,322.9206060834173,210.57691733249743,2485.767693217014,8.744952145326298,0.1151808758632683,0.6506300405820815,4829.844152067277,1474.9539221837565,89.01920608520928,3.469446951953614e-18,1.088781501407356,37.66523143720399,8506.865106853355,0.3058366408728191,0.5370725388820947,2021.7551995976544,13.156953125536988,0.7565684132625428,4.906752756492491,97.9164998064442,0.8476488447063655,-0.081597793406776,163.76120533578523,21.65475384632329,0.050935320240054,45.36916541513178,1208.53715763797,108._5,108,12972.885395999205,57306.79937367991,28480.024774462265,8875.640955093771,12780.042890977047,373.8599312977794,31.691100004703085,26.127576347880808,184665.58153103277,412987.8638256136,523.3043818663094,22.83925890756519,27.899219260870204,3736.916270428791,248641.42863632663,147.70498577915188,21.593422474388287,46218.12263453251,2359.230324604904,107.89576087832216,289.91114508158864,8564.56475395235,40.08447575090371,1.5950641602535478,10385.754016354182,1755.3827938311224,16.64342835945678,1567.5382139762153,78261.4007694771,108
6783.263710092871,1831.068284299668,250.16552291727675,189.3767696051896,2378.614575809945,6.785097091262157,0.2004249846456375,0.4046818806039648,4544.075078361407,644.0559246590863,63.91001787339605,0.0765258823959978,1.155441593330255,32.25555949789755,7726.302852271009,0.3550031850320949,0.0465913014576423,1842.448894550872,12.452136694083608,0.6963976059639043,3.6678850336414417,80.46264548629347,0.556101160847117,-0.081597793406776,154.67854476743278,10.58485993637369,0.0352543143315186,42.912879480943246,1002.5499761457804,108._6,108,11291.495009192597,48227.90833585551,22384.40478400585,7581.244763644891,12459.581003832624,316.0780377780901,23.99792769374289,20.64938474525106,154781.89031379076,376404.27859430894,484.8144693712577,18.118333485922676,26.9730264125998,3248.4102519106605,211697.75140070505,126.85942675604998,20.308704394672432,40707.987285004725,1855.5983442522952,90.43253746724588,251.12646554914997,7731.391650202395,41.2357500656654,2.593773625241937,8557.166708855706,1498.3921427793746,15.81024809914294,1443.1542351598423,63137.31937920678,108
6018.433275406067,1544.618061302105,203.37987647847012,169.55449981949778,2427.693238430834,5.376936809830991,0.3014585958327519,0.2223214215705682,3780.619836007866,601.4572693746304,51.01598832628048,0.1029249310041076,1.4220819610218525,25.87909779152972,6635.413559837735,0.3233360633589766,-0.0093182602915284,1474.1541168574222,9.782829858573225,0.6810640066138467,2.514947818848467,71.80769813166873,0.5722968686262715,0.10199724175847,131.21737992392394,13.107905351504908,0.0489332710574583,35.23716734837063,777.8835875256565,108._7,108,10157.852656071427,39657.3091573501,19018.86878851055,6846.750752607092,10195.711021912542,245.6997519878554,18.497900485637977,15.607874029121984,127648.01374466086,301367.27076550794,388.8865421573283,20.298977197721275,19.89294790588907,2609.591285823381,170718.08004093342,98.22778147981906,9.709744120874664,33387.056651648425,1599.0809362472692,78.24806884440332,199.08868885214932,6021.6553754270135,34.75276857463734,1.3463635912118046,6694.926076565223,1153.1449235118337,11.47151283870898,1372.8043987703113,48094.25130836703,108
4623.56744274675,1150.714583766355,142.97102501023065,120.63230025031828,1825.4053089458305,3.9218380219770026,-0.0949544819825339,0.4180916400109888,2899.664713401547,116.87452516983006,44.60294448989693,0.0862161423601143,0.2222003064096644,17.45263545707373,4899.308254467534,0.2000014000098,0.0186365205830569,1121.4124998744549,6.498383204525192,0.6698965197823674,3.1722600489414234,50.84639009641673,0.1187785012475866,-0.081597793406776,96.09478610763789,9.287721737769903,0.0195733084229833,21.47023460005965,660.610611663988,108._8,108,9199.332079885922,33438.19042975189,15227.085773425864,5884.691829871807,9908.101945417704,205.25717405497923,16.24367056027714,13.11836094378422,103496.25298340408,241072.7795934928,303.11362328115496,14.191315814540422,17.896615999011036,1958.6841154686304,138228.10696525217,81.33380093875915,7.677888068705092,25914.796547021742,1298.5231107070797,61.84832598866126,156.27801404833556,4710.652893198747,37.75400474704113,0.4895867604406562,5583.1767139967615,844.3416469639707,12.566310040513784,1109.8377055970625,31961.8781538627,108
5439.979961477678,897.0615739767125,124.35008761479968,109.64595633844586,2495.7818989981374,1.8040639775245488,0.0748309894433179,0.4519756412680704,2100.4848678383914,1055.365300032168,145.43386981451542,0.0790314638301047,0.7309245811213442,13.927086404604468,3900.484284128486,0.0575004025028175,0.2981843293289111,871.3193147387166,4.558011907104333,0.2640566354877678,0.8294339760913298,39.93485595905128,0.3293403898228538,-0.081597793406776,68.37023950393723,9.19275817640106,0.0342532897402208,23.638872225007155,471.47485689368966,108._9,108,7875.623409599094,26331.134368834217,12373.76080152121,4494.911141097625,9460.823779945767,146.20283940724462,13.410625076273154,12.206235046508253,84114.43128184386,201830.0946460742,245.201474018558,11.166781533490246,9.602590987925703,1557.1840522580449,110114.06632697229,57.88789575712597,6.616889397730066,21437.741371764747,957.2514535337766,49.36805499164318,129.56041875638036,3545.402465991998,38.74363015232139,0.3671900703304921,4145.957742646824,593.4504131079877,8.597695816666088,882.1022436480164,23709.80663071014,108
