Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,Sr,Cd,Sn,Ba,Hg,Pb,name
1031.64826,522.0,101.58005,100.58685,7449.52118,11.28932,1.0,1.0,506.34896,3436.17269,34.37,172.11626,1101.67376,1.66667,1.32667,2.10667,1.0,6.7596,16.05057,APP.10_9
1527.35658,988.88559,105.09957,536.3963,13712.43236,75.44112,1.0,1.0,1099.73653,5831.94908,58.41186,209.73624,2547.96168,2.43611,2.66667,1.44444,1.94444,5.79042,10.93276,APP.11_0
1428.24547,997.83003,81.54402,461.61852,12484.21014,34.31847,1.0,1.0,977.95875,5674.17131,52.96741,181.2918,2147.6839,1.78389,1.83333,1.0,8.66667,7.1804,10.48686,APP.11_1
1438.63435,1024.05226,70.32179,611.28519,13731.04347,82.01428,1.0,1.0,1106.51431,5364.78242,61.52297,173.23624,2225.35057,1.50611,1.0,1.0,2.88889,10.15949,7.9313,APP.11_2
1392.63435,934.16337,83.21068,487.45186,13323.48792,128.46753,1.0,1.0,988.18098,5128.89353,57.96741,179.73624,2110.07279,2.81667,2.66667,1.0,3.83333,5.72441,14.62648,APP.11_3
1307.63435,872.60781,84.21068,492.50741,12949.2657,84.89437,1.0,1.0,986.06986,4992.33797,50.96741,202.51402,2042.6839,1.78389,3.5,1.44444,4.77778,10.56929,10.59797,APP.11_4
1206.80102,797.94114,76.65513,368.78519,11282.09903,102.16335,1.0,1.0,864.84764,4850.61575,46.41186,207.56957,1941.01724,1.79,2.66667,1.44444,4.83333,8.49173,11.54241,APP.11_5
1386.18991,891.88559,81.43291,500.3963,13807.37681,144.92352,1.0,1.0,975.56986,4735.67131,56.52297,160.90291,2221.46168,1.395,4.33333,1.88889,1.0,9.28106,10.62648,APP.11_6
1289.46769,904.16337,67.43291,399.95186,12135.59903,31.43838,1.0,7.88889,927.4032,4614.78242,49.8563,162.06957,2039.46168,2.27556,1.83333,1.0,1.94444,8.1584,5.6579,APP.11_7
1214.52324,839.33003,69.09957,412.61852,11769.93236,123.89437,1.0,1.0,925.68098,4515.33797,51.8563,172.2918,2027.40612,1.50611,2.66667,1.88889,4.83333,8.09129,7.70908,APP.11_8
1176.13435,872.60781,75.32179,343.00741,11148.93236,25.68975,1.0,1.0,846.68098,4425.94908,51.63408,194.95846,2080.96168,1.63778,3.5,1.0,5.72222,12.48018,13.85016,APP.11_9
3025.81144,1900.34274,145.95956,1203.31343,32213.5575,138.05556,1.0,1.0,2300.84744,18394.5917,90.3379,465.68001,4319.0,2.64389,3.9252,2.63112,3.77668,34.44758,29.05412,APP.12_0
2877.14477,1719.3983,145.95956,1236.75787,31470.77972,105.38889,1.0,1.0,2205.06967,17480.20281,91.00456,429.23557,4130.0,2.53889,5.26685,5.23557,2.38834,27.6698,29.44301,APP.12_1
2904.53366,1779.06496,147.73733,1260.0912,31949.5575,129.88889,1.0,1.0,2202.34744,16660.25837,90.56012,393.12446,4198.22222,3.615,4.6168,1.21334,2.25889,31.6698,28.94301,APP.12_2
2784.4781,1543.62052,144.18178,1210.98009,31312.89083,140.22222,1.0,1.0,2130.56967,16103.53615,86.67123,367.84668,3986.61111,2.66445,3.78347,1.74001,1.12945,32.39202,28.94301,APP.12_3
2588.20033,1661.78718,132.18178,1092.14676,29499.77972,51.61111,1.0,1.0,2102.68078,15305.03615,86.44901,430.79112,4033.33333,2.65,1.0,2.76667,4.33278,23.6698,28.94301,APP.12_4
2612.42255,1693.23163,129.62622,1177.53565,27463.0575,49.66667,1.0,1.0,2028.18078,14322.75837,80.67123,391.95779,3950.22222,2.21389,1.65004,1.13334,1.12945,30.28091,26.22078,APP.12_5
2437.25588,1556.73163,176.62622,922.14676,22569.16861,131.88889,1.0,1.0,1710.903,13287.98059,68.89345,291.45779,3421.05556,3.50389,4.34733,3.21334,1.25889,25.00896,38.10967,APP.12_6
2251.4781,1443.34274,142.29289,883.42454,21251.89083,76.38889,1.0,1.0,1675.95855,12904.81392,61.22679,308.23557,3177.5,2.04722,5.83071,3.29112,3.64723,8.79838,36.05412,APP.12_7
2327.86699,1357.73163,136.07067,904.0912,20307.33527,107.11111,1.0,1.0,1639.12522,12526.36948,75.11568,296.45779,3295.83333,2.42778,3.27516,2.21334,2.38834,14.23992,39.3319,APP.12_8
2234.25588,1262.67607,135.51511,860.25787,21094.00194,121.55556,1.0,1.0,1582.01411,12279.53615,66.44901,350.23557,3135.66667,3.38667,4.25022,2.32001,1.64723,19.56451,30.60967,APP.12_9
1163.08023,687.2067,223.33599,213.94119,9861.89935,80.72222,1.0,1.0,667.23784,6124.12222,35.92556,331.11111,1402.78487,3.61111,1.0,1.20489,1.0,9.50602,28.70908,APP.13_0
1144.85801,692.31781,176.28043,257.66341,9839.28824,216.11111,1.0,1.0,621.68229,5741.06667,30.14778,305.27778,1299.0071,2.55556,1.0,1.0,3.40223,6.34386,25.04241,APP.13_1
1125.69134,580.2067,109.16932,224.35513,9106.67713,7.05556,1.0,1.0,623.96007,5567.95556,33.70334,288.55556,1207.61821,2.44444,1.0,1.30733,1.0,5.95947,27.70908,APP.13_2
1183.2469,594.37337,120.16932,157.29958,9298.3438,95.0,1.0,1.0,641.51562,5442.06667,33.70334,297.55556,1267.0071,2.72222,1.0,1.10244,1.0,9.11714,29.82019,APP.13_3
1142.08023,585.2067,150.22488,287.50927,9578.8438,1.0,1.0,1.0,663.84896,5190.4,37.14778,294.44444,1231.84043,2.72222,1.0,2.29866,1.0,6.02854,23.4313,APP.13_4
1150.2469,623.76226,113.83599,226.88564,9849.39935,203.88889,1.0,1.0,623.2934,5080.12222,27.59223,310.11111,1324.11821,2.66667,1.0,1.0,1.0,6.67719,26.48686,APP.13_5
1010.2469,498.26226,119.16932,250.0218,8338.12157,48.05556,1.0,1.0,599.2934,4938.4,32.25889,295.5,1218.78487,2.72222,1.0,1.0,1.0,1.63965,24.9313,APP.13_6
1070.30246,563.15115,104.83599,229.60786,8889.12157,35.55556,1.0,1.0,579.68229,4859.95556,30.81445,281.5,1162.78487,2.77778,1.0,1.40977,2.74519,5.29281,25.4313,APP.13_7
1070.02468,512.54004,119.50265,251.34261,8309.06602,9.16667,1.0,1.0,572.07118,4786.67778,32.48111,250.72222,1166.39598,2.44444,1.0,2.29866,2.60149,3.52404,24.26464,APP.13_8
1158.2469,544.81781,149.61377,319.60786,9436.51046,138.27778,1.0,1.0,650.23784,4686.73333,30.92556,305.61111,1311.72932,2.66667,2.28331,1.0,1.0,6.41292,25.76464,APP.13_9
2492.73633,1113.02131,135.81768,507.87255,18949.85036,113.40923,1.0,1.0,1170.23754,7597.48059,38.0918,435.55556,1916.08889,2.99918,3.20285,4.43218,1.0,15.64741,31.48034,APP.14_0
2461.12522,1044.4102,160.81768,425.37255,17762.68369,145.32394,1.0,1.0,1160.01532,7172.70281,37.31402,347.22222,1873.53333,4.82388,1.55071,1.31791,1.0,17.70297,26.70256,APP.14_1
2307.23633,1039.29909,171.0399,461.53922,16907.85036,92.52895,1.0,1.0,1096.79309,6658.48059,35.0918,337.94444,1670.53333,4.02264,1.0,2.71609,1.0,17.75449,25.60598,APP.14_2
2350.903,956.29909,114.15101,280.98366,15817.90591,53.25587,1.0,1.0,1057.57087,6396.14726,42.53624,301.55556,1647.64444,1.7926,2.65213,2.52471,3.83333,13.70095,32.86923,APP.14_3
2403.68078,1041.4102,123.0399,448.42811,16604.07258,53.58059,1.0,1.0,1134.23754,6233.5917,38.20291,324.33333,1599.97778,2.4749,1.0,1.63582,1.0,16.64741,19.60598,APP.14_4
2290.06967,965.63242,134.92879,440.70588,16259.62813,96.31534,1.0,1.0,1049.01532,6086.75837,39.0918,293.61111,1602.36667,2.64939,1.0,1.31791,1.0,10.24642,24.59145,APP.14_5
2250.18078,951.52131,128.37323,293.81699,15452.2948,29.23865,1.0,1.0,1065.68198,5981.64726,34.75846,263.66667,1626.03333,2.31606,1.0,2.52471,1.0,15.59186,20.59145,APP.14_6
2249.12522,946.35464,109.70657,396.98366,15854.85036,39.1917,1.0,1.0,1074.29309,5866.48059,43.0918,283.22222,1503.36667,1.60247,1.0,1.0,1.0,10.63733,17.42479,APP.14_7
2048.12522,854.46575,116.0399,358.26144,14391.7948,10.0892,1.0,1.0,936.18198,5740.42503,33.0918,254.61111,1446.58889,2.06256,1.0,2.96915,1.0,11.25046,15.5359,APP.14_8
2258.18078,899.9102,123.26212,416.0679,15904.85036,50.44366,1.0,1.0,1029.34865,5677.36948,33.64735,262.33333,1550.31111,1.61811,1.0,4.17595,1.0,9.41309,27.43932,APP.14_9
2108.64742,1021.38559,192.89983,389.29095,15260.7025,49.88889,1.0,1.0,902.85843,11118.89726,43.75556,323.97007,2215.43533,4.03505,5.16667,1.37638,1.0,8.15657,52.3319,APP.15_0
1964.36965,1019.21892,169.89983,464.68172,14533.75805,17.38889,1.0,1.0,921.80287,10105.78615,49.08889,290.08118,2270.102,2.41943,5.16667,1.37638,1.0,12.04142,53.72078,APP.15_1
1816.25853,836.27448,170.12205,418.29283,12995.86916,128.0,1.0,1.0,738.52509,9239.50837,38.53333,283.52562,1709.93533,3.77429,1.83333,3.63468,1.0,5.43334,52.94301,APP.15_2
1844.86965,809.10781,183.12205,326.31966,12446.36916,3.0,1.0,1.0,669.30287,8851.28615,34.97778,252.63673,1552.93533,3.71874,2.66667,1.0,1.0,3.66061,63.8319,APP.15_3
1588.31409,1030.16337,119.56649,493.62804,14122.31361,3.0,1.0,1.0,1042.91398,8678.11948,47.97778,284.3034,2248.87978,2.46248,2.66667,1.0,1.0,9.2091,33.60967,APP.15_4
1648.9252,801.88559,144.56649,380.1836,11928.92472,11.0,1.0,1.0,712.69176,8473.61948,34.2,249.3034,1718.15756,5.38991,1.0,6.30135,1.0,3.93738,62.55412,APP.15_5
1669.4252,842.55226,142.12205,317.73727,11763.36916,11.0,1.0,1.0,740.19176,8347.50837,32.75556,256.63673,1722.54644,1.95797,1.83333,1.75277,1.0,3.99394,45.10967,APP.15_6
1650.75853,762.4967,151.56649,323.40582,11498.31361,27.44444,1.0,1.0,627.19176,8163.78615,32.31111,259.08118,1589.21311,2.78229,2.66667,2.26527,1.0,4.43839,59.27634,APP.15_7
1764.25853,802.9967,174.45538,369.23727,11299.98027,1.0,1.0,1.0,613.91398,8016.95281,30.86667,226.74784,1500.65756,4.16769,1.0,2.12915,1.0,2.44041,60.10967,APP.15_8
