,C,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Rb,Sr,Zr,Cd,Sn,Ba,La,Hg,Pb,probka,short,NAZWA POMIARU XRF,OPIS
0,0.5456292642732647,0.34935960952817585,0.14478974162008587,0.018333208343300083,0.018615116568002025,8.831735554815268e-05,0.004564652643705222,0.00025130076674932856,3.1804470909067395,0.05993726299765207,0.04608769207057116,7.651410977782403e-06,8.168623113485148e-05,0.19374349008008093,5154.164087102676,0.007205640103707293,0.001499364830964457,0.05812727158010338,0.3047159995441428,0.0010360756839927214,0.004480613227264735,0.0016453315659762213,6.33769996272046e-05,0.0002518467711348899,0.00048375063255375,0.00019354755847563796,1.8362331044756324e-06,0.006771694772936466,0.003837323419751099,APP0,APP,APP0,podpis - Małachowski
1,0.5021308667412883,0.42244463003619465,0.17566671671655704,0.02750806258291941,0.07344347588481741,0.00041588173368907857,0.0053185508358354425,0.0005676405437286285,3.6675377205025397,0.10728886027206472,0.354090400479954,3.5083624249396135e-05,0.0008323426252086002,0.16757507887308107,4738.488096290312,0.008318110950771137,0.011169420228749906,0.17343451349797287,0.3197259864532951,0.00020557659455317862,0.0045132940263683365,0.004409813748676207,0.0007482919728298286,0.0001818540128318565,0.0021134703222479784,0.001947017476389557,9.8636043256441e-06,0.0024991678119076926,0.008954527891007587,APP1,APP,APP1,podpis - Kossakowski
2,1.4679475864397615,0.35534051725971505,0.15895283990515158,0.037592918003056766,0.05351071772946832,0.0004503975582222823,0.0039771228185881006,0.0003471114044106714,2.6322820287660784,0.09156338972415502,0.008085248728633414,1.5186359896611717e-05,0.0003526154927494857,0.16931376005895174,2272.300196133983,0.013231917956812432,0.004149625204026172,0.0641854116912569,0.3562281838219249,0.0011439635960005714,0.003979631115433786,0.004363853041082657,2.656647726926644e-05,0.0003008530289986579,0.0013631810729362501,0.0009246136982609787,9.921847661034674e-06,0.004800959194130657,0.009504352181570516,APP10,APP,APP10,podpis - Radzicki
3,0.5857856040405586,0.30863702857131614,0.18969743832842462,0.018995261092264886,0.0350742639337624,0.00018490833988539998,0.005207049097868443,0.00041485756402427854,2.870524833874726,0.10539165874460588,0.01658807124018997,1.1696056641228464e-05,0.00022570488517089962,0.21966639805921062,2949.4276427221225,0.012011897065586278,0.0011747141401994,0.04661257026451484,0.4448858720582796,0.00048186504570885716,0.004688571253241587,0.0030752765475958,5.428104836891059e-05,0.00018332257233969712,0.0003807308171422143,0.000252236130367758,3.2226773086294763e-06,0.0036548192761899573,0.0034354656628838138,APP11,APP,APP11,podpis - Zabiełło
4,0.5112694741785925,0.209347643447066,0.11823296670526402,0.012018271157715279,0.022785346836722033,0.00013189281770463105,0.0038168567155342924,0.00016962208971721182,1.8667125062650105,0.06459694629578386,0.005023539172055008,3.2042655568888484e-06,9.351235358064372e-05,0.13946985314862778,7566.1098981812975,0.005970276190710749,0.0006702768157779428,0.023959365456475944,0.2670270519355054,0.0007706847353889359,0.002891931054529179,0.00210824848738425,1.1338227378020774e-05,0.00031238641650135717,0.0002836708069629758,0.00018346685346816563,6.518729720103526e-06,0.002788831769825914,0.0027223867494237494,APP12,APP,APP12,podpis - Puttkamer
5,0.7002540812919317,0.24232029928038654,0.11264182047464724,0.027355545290873955,0.041400944384776074,0.00013079188089326873,0.0033493163563109926,0.00020151339599108837,2.008544043375839,0.10710298797504052,0.010815097318742778,9.26930243590899e-06,0.00013759123195403037,0.13206105097707346,3079.179332659981,0.007333752124612127,0.002502268380716386,0.06074518097847264,0.2546132771022899,0.0010133836301301857,0.0026728487891935783,0.0033643757655924143,8.65105326836162e-05,6.269092560921263e-05,0.0005904177248153787,0.0003579933303370785,5.4280220237993275e-06,0.0035456000229551433,0.007012051736358985,APP13,APP,APP13,podpis - Sapieha
6,2.387191177916133,0.44982781971678226,0.1792703203243168,0.024852508262620972,0.055256997321353536,0.00013055330263110347,0.004872405098886858,0.0009930258903124215,3.112085849717366,0.1456735007422098,0.008832974777251179,7.632872459517962e-06,0.000113500512815586,0.20018097488623643,4103.51058926683,0.007751037528937179,0.00208504119545185,0.04946919381237043,0.2888162838641186,0.0005799054258617001,0.004435618659984258,0.005490614751705606,4.4073132277548605e-05,0.000358467366849628,0.0006693961878539857,0.0005686603511876499,2.9760815467358327e-06,0.004537882611466443,0.004756685364691586,APP14,APP,APP14,treść
7,0.7869241455759959,0.26150155691224175,0.08887288968419395,0.028096145261217603,0.020731282633438975,0.0002884082446394785,0.0015988313796865788,0.00017913844071763333,1.550467973638615,0.08567428828139378,0.0011035338256937858,3.6856605705500793e-06,6.074957812159607e-05,0.05481508151247988,5929.400592997207,0.002998661991625264,0.0009418226564798071,0.028099465059419286,0.11951812803762792,0.0013542699724966999,0.0022463213802430926,0.004833367960964444,5.046011095758615e-06,5.3492274060838045e-05,0.0006705921903077071,0.00011301433265868625,6.769008728878664e-06,0.0012555368071672786,0.010007662965559412,APP15,APP,APP15,poprawka
8,1.4092473037098225,0.39310098194896836,0.13630147639162699,0.06440607195259869,0.047087404982680485,0.0002693458904119072,0.0033171919835140065,0.0006968053566256142,2.517616243055144,0.08981383993164406,0.018929419053209384,1.5868647155448887e-05,0.00018609963067820528,0.11850837162889452,3243.9220127498675,0.0117292262344821,0.006527977724460536,0.056962935958246495,0.2403858123332596,0.0017505985070401288,0.0036413147429651713,0.007388599881987057,6.37770118034547e-05,0.0002643242560976152,0.0013622332307858356,0.0006040335910481615,1.3545058327198021e-05,0.0017439111311686997,0.01195902223708202,APP15,APP,APP15,poprawka
9,0.18641414893096692,0.24738494686622792,0.04841196131078907,0.07651782782672505,0.17487752416992383,0.0026412531356575218,0.003984496078594565,0.008349376051791707,2.3790148608389323,2.001675449033145,0.05351161734131521,3.74225652318949e-06,0.0012054596109931416,0.04468266070818221,1211.0840965595355,0.00894671333695989,0.008747482896711786,0.05652851130971432,0.05220760968869094,0.0029054394151422935,0.0011283716858627787,0.005715021452306372,7.450682762189e-05,0.0002248789653446212,0.0007113056667775212,0.0005069633506774071,2.4549158097183634e-05,0.04342879755874677,0.02404294001641812,APP15,APP,APP15,poprawka
