Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,As,Sr,Cd,Sn,Ba,Hg,Pb,name
692.8,556.4,443.05,0.0,1854.5,443.6,0.2,4.1,58.0,10089.65,11.45,76.15,16.15,0.0,6.4,0.5,94.3,7.15,13.6,109.2,BUWo6_0
598.25,333.85,308.35,3.5,1636.4,2213.6,0.4,48.45,62.5,8138.35,3.5,1020.05,19.25,0.05,6.4,0.0,38.15,74.05,2.9,878.6,BUWo6_1
670.55,381.95,362.0,3.5,1848.7,3517.5,0.85,53.65,83.3,7235.0,2.8,1039.9,29.45,0.05,6.45,1.0,23.95,48.1,5.0,1131.6,BUWo6_2
736.95,402.45,431.9,5.1,2083.7,4671.45,0.6,36.75,94.45,6470.85,3.5,641.1,29.3,0.7,8.2,0.0,42.35,18.25,7.95,829.9,BUWo6_3
701.85,362.2,411.95,3.8,2121.55,3708.1,0.7,61.25,85.75,6016.3,1.25,863.75,38.8,0.0,7.45,0.0,24.1,75.05,4.15,1051.3,BUWo6_4
718.45,302.1,326.4,0.3,1937.65,974.45,0.35,27.9,54.8,5647.4,5.5,685.25,33.6,0.0,8.5,0.0,42.3,25.6,32.55,663.15,BUWo6_5
699.85,357.15,276.25,6.25,1817.85,2468.65,0.25,49.2,69.8,5193.0,0.75,790.7,14.95,0.0,6.3,0.0,26.7,26.7,5.85,985.65,BUWo6_6
776.0,459.35,451.45,24.85,2375.45,3535.5,0.55,37.8,72.6,4818.4,2.8,546.4,36.15,0.0,8.2,0.0,37.7,30.6,35.95,730.5,BUWo6_7
832.9,475.8,674.9,0.3,2575.15,5708.45,2.65,48.95,106.6,4355.25,0.85,674.05,28.05,0.0,7.5,0.0,27.7,93.5,10.8,1052.2,BUWo6_8
708.6,328.8,317.6,0.3,1791.4,979.2,1.45,17.45,56.55,4010.05,4.5,414.25,37.9,0.0,7.05,1.0,60.05,52.2,24.0,592.55,BUWo6_9
