,Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,As,Sr,Cd,Sn,Ba,Hg,Pb,name
1,2016.8,457.9,502.4,198.1,6493.1,2081.9,0.7,162.45,276.95,6940.95,3.95,1654.25,252.7,0.4,10.7,0.5,18.75,23.75,3.95,2097.7,BUWo4_0
2,1952.1,434.15,498.3,206.8,6820.95,2929.75,1.15,70.35,282.9,4332.55,1.7,789.45,314.85,0.15,13.3,0.0,16.25,24.35,3.9,867.25,BUWo4_1
3,1348.55,730.05,402.55,156.15,4022.55,5423.85,0.55,31.5,207.15,3565.5,1.3,577.95,215.0,0.0,17.4,0.0,82.1,15.45,1.7,433.05,BUWo4_2
4,1212.4,546.1,382.4,103.9,3622.6,4947.25,1.0,31.55,131.55,3196.9,1.5,612.7,223.8,0.0,12.25,0.0,108.85,2.2,1.95,264.85,BUWo4_3
5,1063.1,539.85,435.75,86.5,3235.7,4891.6,0.85,18.25,106.75,2931.25,1.3,601.95,281.8,0.0,15.45,0.0,64.35,13.35,1.1,56.8,BUWo4_4
6,1413.7,477.95,524.75,137.25,4337.85,2578.85,0.5,33.35,149.95,2751.35,1.75,606.15,231.0,0.1,10.8,0.5,43.05,11.6,2.0,281.7,BUWo4_5
7,1403.45,478.4,433.6,90.6,4206.75,3445.7,0.25,29.5,158.05,2583.15,1.15,585.6,323.1,0.0,14.6,2.0,44.1,4.95,2.9,223.15,BUWo4_6
8,1212.8,492.05,370.1,180.7,3637.35,4273.05,0.45,18.3,146.35,2480.0,1.3,548.3,260.65,0.0,13.25,2.5,23.65,4.4,1.65,185.05,BUWo4_7
9,1336.65,516.5,402.2,118.25,4413.35,3628.15,0.75,20.9,155.4,2361.9,1.3,512.25,257.25,0.05,10.9,1.5,15.4,13.85,0.6,294.3,BUWo4_8
10,1004.9,501.1,346.2,64.7,2913.35,3396.65,0.2,18.2,91.5,2241.0,0.9,599.45,255.6,0.0,10.25,1.0,54.05,13.3,3.95,60.15,BUWo4_9
