,Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,As,Sr,Cd,Sn,Ba,Hg,Pb,name
1,1163.25,254.95,186.75,50.85,1349.1,199.75,0.0,18.85,56.8,6557.35,10.2,57.5,22.35,0.0,4.7,0.0,9.1,2.2,4.15,666.0,BUWo7_0
2,1197.8,255.35,196.85,40.7,1425.9,93.45,0.0,10.4,55.25,6309.4,13.6,56.05,18.2,0.0,6.1,0.0,4.5,0.55,5.6,753.25,BUWo7_1
3,1279.25,295.9,194.35,33.3,1544.6,127.0,0.7,19.5,60.35,6035.1,12.2,61.55,23.95,0.1,3.9,0.0,7.35,0.0,6.4,859.05,BUWo7_2
4,1214.5,306.55,201.95,24.6,1640.1,47.15,0.0,17.55,68.35,5789.6,13.7,73.4,34.25,0.1,5.65,0.0,9.7,0.55,11.95,830.05,BUWo7_3
5,1177.15,311.6,183.45,53.55,1481.15,196.3,0.3,14.3,63.4,5548.15,13.0,77.0,32.2,0.0,4.1,0.0,11.65,1.65,13.55,681.35,BUWo7_4
6,1265.2,282.6,190.2,17.35,1593.8,154.6,0.3,13.65,55.2,5311.95,11.3,56.15,19.25,0.0,3.9,0.0,9.5,2.2,11.8,740.25,BUWo7_5
7,1299.85,290.6,181.9,25.0,1645.0,210.25,0.05,14.95,57.3,5096.35,10.2,43.4,25.8,0.0,4.3,0.0,10.05,0.0,3.95,539.95,BUWo7_6
8,1172.1,253.8,180.15,14.45,1527.95,87.75,0.0,15.0,54.5,4978.15,10.0,44.25,21.05,0.0,3.95,0.0,9.3,1.1,7.1,599.95,BUWo7_7
9,1285.35,285.9,184.75,41.8,1563.9,149.0,0.25,10.4,51.35,4866.45,12.15,49.0,21.0,0.0,4.1,0.0,11.9,1.1,8.35,662.0,BUWo7_8
10,1184.2,250.2,177.65,33.9,1543.25,114.3,0.0,10.45,50.95,4783.5,8.1,30.65,16.45,0.0,5.15,0.0,10.9,0.55,3.5,546.1,BUWo7_9
