,Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,As,Sr,Cd,Sn,Ba,Hg,Pb,name
1,1144.7,1193.2,742.5,74.5,1917.45,137655.8,0.5,22.9,18.45,16261.7,0.1,34.4,67.8,0.0,31.05,0.0,4.25,15.4,7.5,38.45,BUW12_0
2,1027.6,833.6,543.15,58.65,1866.9,96383.25,0.1,11.7,13.55,14400.15,0.0,31.45,41.75,0.0,29.25,0.0,15.45,24.3,3.3,42.6,BUW12_1
3,1014.85,934.35,505.4,72.8,2214.05,83546.0,0.0,10.4,12.35,13227.25,0.0,23.5,44.65,0.0,30.05,0.0,18.8,21.6,6.25,40.5,BUW12_2
4,834.15,776.7,411.15,50.7,2071.9,72668.3,0.1,7.15,10.65,11517.3,0.0,17.65,31.2,0.0,23.05,0.0,13.6,13.45,3.3,30.85,BUW12_3
5,868.8,492.9,311.2,87.2,3035.7,55884.4,0.3,7.15,4.65,10394.9,0.1,16.0,22.3,0.0,13.75,0.0,7.25,14.5,2.0,24.95,BUW12_4
6,754.1,514.9,359.35,72.2,2097.05,56556.95,0.15,10.4,8.55,9683.35,0.15,15.35,23.95,0.0,12.25,0.0,6.0,4.95,1.6,31.15,BUW12_5
7,859.2,512.2,322.85,71.35,2754.8,50172.55,0.2,5.2,8.35,9016.35,0.0,17.85,22.2,0.0,12.55,0.0,10.15,9.4,4.5,42.55,BUW12_6
8,758.8,421.85,313.25,57.7,1372.25,43439.8,0.3,13.0,5.8,8408.0,0.05,17.3,20.7,0.15,11.0,0.0,13.7,20.6,4.5,149.75,BUW12_7
9,786.9,433.65,285.4,56.6,1555.25,46228.85,0.1,9.75,5.45,8027.25,0.0,15.4,23.65,0.0,12.9,0.0,12.95,16.65,2.65,75.25,BUW12_8
10,705.05,384.5,272.3,65.05,1517.25,45345.8,0.15,10.4,8.15,7661.4,0.0,35.05,17.6,0.0,6.85,0.0,11.5,17.15,5.35,58.25,BUW12_9
