,Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,As,Sr,Cd,Sn,Ba,Hg,Pb,names
1,1107.57739,584.22278,322.3259,172.14599,2751.80704,2793.25,1.0,13.5,128.79355,2321.14545,1.1,614.7,298.25,1.0,10.2,4.7,22.25,21.8,5.46339,835.0309,BUWo3_0
2,1056.17739,554.12051,325.6759,183.81619,2899.15704,2361.15,1.0,16.05,127.59355,2108.74545,1.05,644.45,264.8,1.0,8.3,1.9,30.7,14.5,3.51762,562.1809,BUWo3_1
3,971.52739,340.02278,317.1259,150.60659,2544.85704,2079.95,1.2,7.3,111.49355,1887.49545,1.2,605.15,224.0,1.0,10.45,1.0,15.6,32.95,4.19226,504.6809,BUWo3_2
4,1161.72739,532.42278,283.6259,120.08639,2880.50704,3407.0,1.0,18.55,100.64355,1725.24545,1.35,159.55,309.35,1.0,9.8,3.25,9.05,22.5,5.04649,106.5809,BUWo3_3
5,1035.67739,390.37278,254.6759,192.44599,2321.00704,1281.15,1.0,16.0,100.14355,1548.29545,1.4,304.65,276.6,1.0,7.65,1.9,8.15,22.9,4.61339,205.8809,BUWo3_4
6,1011.17739,279.82278,272.9259,130.23639,2520.90704,1845.45,1.15,11.6,90.49355,1409.59545,1.1,322.15,267.75,1.0,11.85,1.9,11.05,29.2,5.60917,202.8309,BUWo3_5
7,1069.97739,242.92278,296.7759,217.16619,2543.10704,698.1,1.0,16.55,105.39355,1297.59545,1.3,352.15,335.15,1.0,9.0,2.35,8.75,8.65,5.10917,187.8309,BUWo3_6
8,936.92739,288.72051,266.1259,175.18639,2378.30704,1077.7,1.0,17.45,114.99355,1232.69545,1.05,320.7,273.25,1.0,8.15,1.0,6.8,5.05,2.25071,239.5309,BUWo3_7
9,1098.47739,413.82278,293.2759,150.46619,2718.00704,1765.55,1.0,13.5,103.89355,1155.94545,1.1,174.4,323.95,1.0,7.9,1.9,11.4,2.5,4.91339,116.7309,BUWo3_8
10,1119.32739,311.52278,315.9259,175.04599,2657.05704,1465.8,1.0,17.9,104.74355,1085.34545,1.1,210.4,288.5,1.0,8.55,1.0,6.6,6.7,3.26339,112.1309,BUWo3_9
