,Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,As,Sr,Cd,Sn,Ba,Hg,Pb,names
1,1268.41675,232.41999,162.46013,88.18559,2233.46456,1335.15,1.40258,18.40452,21.41424,3167.17076,1.0,464.4,25.32151,1.0,7.9,1.45,12.15,21.75,1.46851,554.431,BUWo1_0
2,1166.01675,242.61999,163.76013,111.50368,2203.21456,2729.55,1.0,13.26362,19.66424,2432.62076,1.0,411.15,21.03936,1.0,6.25,1.0,17.15,12.7,1.43425,508.99939,BUWo1_1
3,1073.26675,252.86999,117.76013,57.75246,1959.81456,2517.15,1.0,7.43181,9.21424,2140.57076,1.0,139.3,20.14829,1.0,4.95,1.0,19.45,6.85,1.0,114.231,BUWo1_2
4,1116.51675,285.21999,79.06013,85.40368,2434.61456,2083.1,1.0,5.56968,5.39084,1996.02076,1.0,63.6,7.95721,1.0,3.7,1.0,13.7,3.6,1.0,71.69939,BUWo1_3
5,1052.26675,314.01999,127.96013,82.41933,2175.86456,1762.8,1.0,3.78787,12.42893,1872.12076,1.05,147.55,9.14829,1.0,5.7,1.0,14.05,6.1,1.23425,162.79939,BUWo1_4
6,1046.11675,313.06999,106.01013,18.58559,1807.51456,2068.4,1.0,6.27878,5.43488,1724.67076,1.05,9.8,9.88936,1.0,5.95,1.0,8.1,8.85,1.0,5.95745,BUWo1_5
7,1168.91675,248.91999,143.26013,83.83559,2066.51456,1676.95,1.25258,6.37878,12.31424,1677.42076,1.0,177.4,16.49829,1.0,6.45,1.0,15.2,9.8,1.0,217.181,BUWo1_6
8,1095.21675,444.86999,124.31013,75.16933,2233.66456,2696.35,1.0,8.16968,5.82893,1615.47076,1.0,50.95,10.25721,1.0,7.15,1.0,9.9,3.5,1.0,34.99422,BUWo1_7
9,980.41675,453.61999,124.31013,46.15246,1698.81456,1915.55,1.0,4.72271,4.80552,1524.12076,1.0,12.6,4.88398,1.0,5.45,1.0,3.65,5.15,1.0,5.94422,BUWo1_8
10,1064.06675,352.71999,101.41013,59.2362,2040.96456,1754.85,1.16839,6.27878,6.60552,1447.37076,1.0,83.4,11.53936,1.0,4.4,1.0,11.1,4.1,1.0,76.69422,BUWo1_9
