Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,As,Sr,Cd,Sn,Ba,Hg,Pb,name
1950.95,368.55,365.15,291.15,3357.55,233.3,0.2,20.45,107.65,20641.1,17.7,498.1,168.45,0.1,53.9,0.5,23.2,23.95,12.85,224.7,BUWo9_0
2254.8,620.0,436.05,309.45,3169.1,293.4,0.0,10.8,115.05,19038.2,23.25,598.55,215.9,0.0,44.55,2.0,49.6,8.3,10.05,154.85,BUWo9_1
2593.75,740.55,558.35,255.8,3398.25,124.65,0.05,16.75,142.0,18552.1,25.65,715.0,233.75,0.0,33.4,1.0,58.25,48.35,9.35,165.7,BUWo9_2
2362.3,587.65,524.4,250.55,3010.1,129.35,0.1,25.75,126.8,17881.05,23.55,692.1,210.55,0.0,29.0,0.0,41.85,9.9,8.6,238.3,BUWo9_3
2610.0,694.9,508.5,312.35,3243.3,136.3,0.0,20.45,126.6,17299.0,24.55,564.45,214.1,0.0,29.25,1.0,52.0,40.55,10.4,181.5,BUWo9_4
2204.15,571.65,528.35,306.55,3506.05,170.85,0.15,14.05,135.9,16695.9,22.9,537.95,210.9,0.0,31.75,0.0,44.25,40.6,9.7,205.05,BUWo9_5
2416.45,586.0,461.35,234.05,3035.0,139.75,0.3,26.55,145.2,16255.6,25.8,579.9,212.4,0.0,26.15,0.0,43.55,24.45,9.15,229.85,BUWo9_6
2390.1,673.9,527.05,299.3,3791.55,221.75,0.05,16.1,141.1,15933.5,23.55,509.55,223.35,0.2,36.2,0.0,59.8,51.1,11.55,177.15,BUWo9_7
2274.75,572.8,434.35,294.95,2875.4,177.85,0.15,30.75,123.3,15540.4,26.05,645.05,231.35,0.0,21.45,0.5,28.4,23.9,12.1,199.8,BUWo9_8
1972.9,534.4,491.3,211.95,3034.1,129.4,0.15,3.1,90.9,15298.0,20.35,397.85,138.6,0.0,42.3,1.5,46.6,11.6,8.25,249.65,BUWo9_9
