,Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,As,Sr,Cd,Sn,Ba,Hg,Pb,name
1,1261.15,77.0,52.05,115.9,2100.6,951.5,0.05,10.6,31.05,1110.7,0.2,160.55,18.25,0.0,2.05,0.0,3.3,45.15,2.2,37.65,BUW10_0
2,1631.2,170.65,70.05,76.25,2950.45,1967.85,0.15,6.0,72.65,901.4,0.0,99.15,14.85,0.0,4.0,0.0,3.75,4.5,23.0,54.65,BUW10_1
3,1450.8,89.9,42.15,99.7,2453.65,255.25,0.0,13.85,30.85,759.65,0.05,38.3,4.9,0.0,5.05,0.0,7.3,10.0,0.9,30.45,BUW10_2
4,1416.7,79.25,70.4,91.5,2353.0,393.95,0.05,9.65,43.7,680.8,0.45,53.7,8.45,0.0,2.9,0.0,4.8,10.5,2.45,74.75,BUW10_3
5,1502.2,109.85,72.3,59.8,2549.55,778.0,0.05,3.35,51.95,642.25,0.1,73.6,18.9,0.0,4.1,0.0,5.85,4.45,0.8,28.05,BUW10_4
6,1496.1,138.25,81.25,71.9,2705.2,854.3,0.1,4.85,55.05,595.15,0.0,36.0,15.45,0.0,5.8,0.0,6.85,1.1,0.8,45.25,BUW10_5
7,1563.8,103.6,59.45,93.9,2501.3,303.95,0.1,5.55,48.2,557.0,0.0,33.6,14.2,0.0,3.1,0.0,7.9,3.3,5.3,62.1,BUW10_6
8,1503.25,94.5,45.6,37.1,2575.2,1173.5,0.1,12.1,56.9,556.85,0.05,52.7,11.55,0.0,4.35,0.5,6.7,1.1,0.9,31.05,BUW10_7
9,1635.45,121.85,50.5,47.95,2714.2,203.2,0.05,16.7,50.9,536.0,0.0,24.45,5.95,0.0,5.65,0.0,4.05,1.65,24.65,49.3,BUW10_8
10,1455.85,99.4,49.15,34.65,2366.05,791.85,0.0,9.5,45.45,498.0,0.1,51.1,16.55,0.0,2.25,0.0,5.55,6.65,2.95,26.5,BUW10_9
